date,close_price,volume,open_price,high_price,low_price
02/07/2025,$433.07 ,2693470,$436.24 ,$441.00 ,$432.41 
02/06/2025,$435.40 ,2568120,$437.63 ,$439.96 ,$434.35 
02/05/2025,$437.63 ,2938540,$440.75 ,$444.95 ,$436.27 
02/04/2025,$440.23 ,2647701,$435.43 ,$443.58 ,$434.26 
02/03/2025,$438.60 ,3348717,$437.80 ,$442.74 ,$430.88 
1/31/2025,$437.45 ,4689083,$446.98 ,$447.01 ,$435.83 
1/30/2025,$446.00 ,3290128,$439.67 ,$448.42 ,$439.23 
1/29/2025,$441.68 ,2997604,$439.92 ,$444.36 ,$438.83 
1/28/2025,$442.84 ,5376392,$436.27 ,$445.81 ,$431.64 
1/27/2025,$438.60 ,5086254,$430.23 ,$445.45 ,$430.12 
1/24/2025,$435.38 ,2631804,$437.28 ,$441.88 ,$434.73 
1/23/2025,$437.28 ,2716742,$435.88 ,$437.73 ,$432.49 
1/22/2025,$437.32 ,3391642,$438.00 ,$439.73 ,$433.43 
1/21/2025,$436.36 ,3833294,$433.26 ,$439.98 ,$431.50 
1/17/2025,$429.99 ,4012745,$434.35 ,$435.99 ,$425.70 
1/16/2025,$426.93 ,4185552,$418.21 ,$428.89 ,$418.00 
1/15/2025,$417.28 ,4345781,$421.70 ,$423.97 ,$415.66 
1/14/2025,$412.71 ,3577116,$407.25 ,$412.75 ,$405.07 
1/13/2025,$408.50 ,4558780,$404.27 ,$409.96 ,$403.75 
01/10/2025,$405.92 ,5564262,$410.00 ,$413.10 ,$405.32 
01/08/2025,$419.58 ,3508786,$417.34 ,$422.66 ,$415.51 
01/07/2025,$422.63 ,4181405,$431.37 ,$435.18 ,$420.51 
01/06/2025,$431.18 ,3994400,$431.88 ,$436.41 ,$427.79 
01/03/2025,$430.57 ,5619372,$429.45 ,$433.30 ,$425.32 
01/02/2025,$441.00 ,2507887,$447.76 ,$450.12 ,$440.56 
12/31/2024,$444.68 ,2285132,$446.35 ,$448.50 ,$442.81 
12/30/2024,$445.80 ,3473172,$442.94 ,$447.60 ,$438.57 
12/27/2024,$446.48 ,2947179,$446.88 ,$449.91 ,$441.11 
12/26/2024,$450.16 ,2134310,$445.85 ,$452.34 ,$444.68 
12/24/2024,$447.94 ,1685003,$446.50 ,$448.87 ,$442.57 
12/23/2024,$446.74 ,3781194,$447.00 ,$451.43 ,$443.42 
12/20/2024,$447.17 ,8220033,$433.02 ,$451.42 ,$432.47 
12/19/2024,$437.39 ,6479517,$443.41 ,$449.00 ,$437.11 
12/18/2024,$441.31 ,6511105,$453.24 ,$455.25 ,$441.10 
12/17/2024,$455.23 ,7514489,$460.59 ,$465.86 ,$452.48 
12/16/2024,$461.53 ,5807021,$467.19 ,$473.62 ,$461.20 
12/13/2024,$465.69 ,11395510,$473.98 ,$474.91 ,$456.80 
12/12/2024,$474.63 ,17344860,$487.50 ,$494.00 ,$470.90 
12/11/2024,$549.93 ,6690565,$547.05 ,$552.30 ,$541.74 
12/10/2024,$547.05 ,2762875,$547.35 ,$552.83 ,$544.22 
12/09/2024,$547.93 ,3588653,$556.10 ,$557.90 ,$546.11 
12/06/2024,$552.96 ,2964064,$544.15 ,$554.37 ,$542.90 
12/05/2024,$538.22 ,2629119,$534.42 ,$540.11 ,$529.79 
12/04/2024,$536.49 ,3307041,$523.02 ,$541.77 ,$521.01 
12/03/2024,$516.26 ,2119254,$511.04 ,$516.78 ,$504.51 
12/02/2024,$516.20 ,2007213,$512.85 ,$518.77 ,$511.53 
11/29/2024,$515.93 ,1450247,$517.65 ,$517.65 ,$513.58 
11/27/2024,$513.68 ,2324217,$523.21 ,$525.88 ,$508.72 
11/26/2024,$525.30 ,2415735,$519.95 ,$525.76 ,$516.36 
11/25/2024,$518.73 ,3319992,$519.09 ,$523.21 ,$513.19 
11/22/2024,$512.15 ,2287614,$502.50 ,$513.37 ,$502.50 
11/21/2024,$504.44 ,2002094,$502.10 ,$508.57 ,$493.10 
11/20/2024,$499.50 ,1874910,$505.41 ,$506.36 ,$494.61 
11/19/2024,$499.61 ,1961731,$496.00 ,$502.41 ,$495.46 
11/18/2024,$499.51 ,2259651,$505.00 ,$505.51 ,$497.69 
11/15/2024,$503.37 ,4612417,$520.30 ,$524.50 ,$498.81 
11/14/2024,$529.87 ,3098800,$530.55 ,$534.64 ,$523.46 
11/13/2024,$532.50 ,3470174,$523.79 ,$539.92 ,$520.59 
11/12/2024,$526.42 ,4125288,$504.39 ,$528.91 ,$504.27 
11/11/2024,$504.48 ,3536599,$493.60 ,$507.72 ,$493.60 
11/08/2024,$494.68 ,2856859,$503.83 ,$505.00 ,$493.69 
11/07/2024,$500.92 ,2640295,$510.66 ,$510.66 ,$495.30 
11/06/2024,$504.83 ,2969855,$492.93 ,$506.21 ,$492.93 
11/05/2024,$486.42 ,1588149,$483.09 ,$486.66 ,$480.47 
11/04/2024,$481.35 ,1955249,$479.03 ,$483.76 ,$477.37 
11/01/2024,$482.80 ,2852008,$475.41 ,$485.16 ,$475.05 
10/31/2024,$478.08 ,2978688,$486.00 ,$486.05 ,$477.38 
10/30/2024,$486.68 ,2728573,$482.24 ,$492.20 ,$482.24 
10/29/2024,$485.39 ,2089505,$481.92 ,$487.56 ,$479.33 
10/28/2024,$481.04 ,2302255,$487.65 ,$488.49 ,$480.48 
10/25/2024,$483.72 ,2426769,$483.42 ,$488.34 ,$482.52 
10/24/2024,$482.87 ,2100308,$486.63 ,$488.47 ,$480.06 
10/23/2024,$485.03 ,2021316,$492.00 ,$493.83 ,$483.39 
10/22/2024,$493.11 ,2388721,$496.43 ,$497.34 ,$488.36 
10/21/2024,$497.71 ,1679657,$494.60 ,$500.65 ,$492.96 
10/18/2024,$494.90 ,2011121,$491.29 ,$499.00 ,$491.05 
10/17/2024,$496.83 ,2769241,$506.51 ,$507.50 ,$495.23 
10/16/2024,$502.54 ,1859116,$506.39 ,$506.84 ,$500.25 
10/15/2024,$508.03 ,3605675,$513.82 ,$517.77 ,$506.80 
10/14/2024,$509.65 ,3411497,$501.80 ,$514.26 ,$500.41 
10/11/2024,$495.42 ,2992409,$504.78 ,$507.98 ,$494.90 
10/10/2024,$503.57 ,2775102,$490.54 ,$506.45 ,$489.35 
10/09/2024,$494.08 ,2869417,$495.88 ,$495.88 ,$492.32 
10/08/2024,$496.24 ,3551609,$492.45 ,$500.00 ,$486.40 
10/07/2024,$487.30 ,4870534,$503.96 ,$504.87 ,$486.40 
10/04/2024,$507.22 ,1949994,$507.29 ,$508.56 ,$503.59 
10/03/2024,$503.80 ,1921604,$501.02 ,$509.81 ,$498.59 
10/02/2024,$505.81 ,1981848,$503.87 ,$510.19 ,$502.82 
10/01/2024,$502.80 ,3730026,$517.45 ,$519.00 ,$502.50 
9/30/2024,$517.78 ,2588151,$513.83 ,$518.47 ,$511.74 
9/27/2024,$515.48 ,2718323,$516.52 ,$516.68 ,$512.30 
9/26/2024,$515.38 ,3282437,$520.51 ,$521.36 ,$512.11 
9/25/2024,$517.90 ,3211612,$526.02 ,$526.18 ,$516.24 
9/24/2024,$524.07 ,2842054,$527.72 ,$530.30 ,$521.71 
9/23/2024,$527.87 ,2106995,$525.71 ,$532.00 ,$524.96 
9/20/2024,$522.30 ,6100685,$526.44 ,$528.63 ,$515.72 
9/19/2024,$526.44 ,3582532,$518.81 ,$527.48 ,$518.02 
9/18/2024,$508.13 ,3997267,$517.01 ,$517.58 ,$506.49 
9/17/2024,$515.03 ,5164089,$524.29 ,$527.10 ,$514.58 
9/16/2024,$521.50 ,5248205,$537.40 ,$537.69 ,$521.26 
9/13/2024,$536.87 ,10423510,$532.57 ,$540.27 ,$526.60 
09/12/2024,$586.55 ,5605338,$581.45 ,$587.75 ,$572.98 
09/11/2024,$580.38 ,2680977,$573.01 ,$581.24 ,$559.35 
09/10/2024,$574.48 ,2030076,$576.75 ,$577.80 ,$567.14 
09/09/2024,$569.88 ,1997121,$567.69 ,$574.57 ,$564.44 
09/06/2024,$563.41 ,2096790,$570.90 ,$573.31 ,$558.00 
09/05/2024,$567.93 ,1573571,$570.75 ,$573.39 ,$562.53 
09/04/2024,$575.25 ,1615787,$568.87 ,$578.86 ,$565.76 
09/03/2024,$571.04 ,2757929,$576.30 ,$586.70 ,$566.79 
8/30/2024,$574.41 ,1982970,$572.20 ,$575.65 ,$568.29 
8/29/2024,$569.63 ,1955588,$567.05 ,$578.40 ,$567.05 
8/28/2024,$560.54 ,1289699,$568.22 ,$569.59 ,$557.67 
8/27/2024,$567.82 ,1404415,$554.40 ,$569.52 ,$554.34 
8/26/2024,$559.44 ,1387479,$555.03 ,$560.26 ,$555.03 
8/23/2024,$558.30 ,2023465,$565.45 ,$566.52 ,$552.50 
8/22/2024,$557.44 ,1627658,$567.07 ,$572.00 ,$555.65 
8/21/2024,$565.79 ,1401708,$562.13 ,$566.60 ,$557.91 
8/20/2024,$562.25 ,1219609,$564.48 ,$568.18 ,$559.61 
8/19/2024,$563.12 ,1423293,$550.59 ,$563.77 ,$550.59 
8/16/2024,$553.46 ,1541726,$552.35 ,$554.76 ,$547.80 
8/15/2024,$554.16 ,2182382,$545.19 ,$557.22 ,$545.01 
8/14/2024,$539.79 ,1915589,$536.62 ,$542.92 ,$533.20 
8/13/2024,$535.22 ,3063918,$530.93 ,$537.72 ,$527.90 
08/12/2024,$530.93 ,1450410,$536.04 ,$538.08 ,$525.77 
08/09/2024,$536.30 ,1272635,$528.02 ,$537.28 ,$528.02 
08/08/2024,$530.24 ,2155115,$520.59 ,$531.07 ,$519.56 
08/07/2024,$513.62 ,1663682,$520.95 ,$531.01 ,$512.86 
08/06/2024,$514.20 ,2076327,$513.69 ,$519.16 ,$509.01 
08/05/2024,$509.32 ,3432155,$504.23 ,$515.90 ,$500.00 
08/02/2024,$526.17 ,2729113,$535.78 ,$536.84 ,$519.68 
08/01/2024,$546.41 ,2075410,$549.99 ,$561.98 ,$540.24 
7/31/2024,$551.65 ,2776002,$547.05 ,$555.55 ,$543.77 
7/30/2024,$538.71 ,1566875,$541.85 ,$543.67 ,$530.95 
7/29/2024,$536.61 ,1590551,$544.30 ,$544.30 ,$535.19 
7/26/2024,$542.44 ,2090007,$535.35 ,$545.50 ,$533.33 
7/25/2024,$532.15 ,2136496,$536.80 ,$542.28 ,$527.59 
7/24/2024,$531.04 ,2630081,$543.80 ,$544.71 ,$530.35 
7/23/2024,$546.01 ,2363881,$556.49 ,$557.25 ,$544.44 
7/22/2024,$554.82 ,2391696,$558.65 ,$560.19 ,$552.71 
7/19/2024,$551.00 ,2601942,$557.05 ,$561.09 ,$548.96 
7/18/2024,$556.85 ,2184657,$564.18 ,$564.26 ,$556.07 
7/17/2024,$563.09 ,2316265,$563.93 ,$565.00 ,$556.46 
7/16/2024,$566.54 ,1539875,$564.60 ,$570.10 ,$562.08 
7/15/2024,$565.71 ,1887763,$560.23 ,$568.23 ,$560.23 
07/12/2024,$559.05 ,2013985,$555.10 ,$562.49 ,$552.32 
