Date,Close/Last,Volume,Open,High,Low
2/7/2025,$727.70 ,1312394,$739.05 ,$742.32 ,$723.75 
2/6/2025,$739.13 ,1120244,$737.69 ,$742.41 ,$735.01 
2/5/2025,$742.59 ,1251740,$729.24 ,$743.21 ,$722.40 
2/4/2025,$731.41 ,1496994,$736.90 ,$742.69 ,$729.28 
2/3/2025,$731.06 ,1647169,$719.13 ,$735.45 ,$717.92 
1/31/2025,$739.31 ,2127326,$748.09 ,$754.60 ,$737.77 
1/30/2025,$736.99 ,2745560,$740.10 ,$745.59 ,$730.58 
1/29/2025,$712.65 ,4971530,$727.16 ,$728.46 ,$704.60 
1/28/2025,$683.35 ,2811890,$678.80 ,$693.45 ,$666.60 
1/27/2025,$690.15 ,4947774,$672.79 ,$690.60 ,$671.94 
1/24/2025,$732.25 ,1505743,$749.36 ,$750.00 ,$729.30 
1/23/2025,$746.24 ,1751059,$740.01 ,$747.75 ,$736.00 
1/22/2025,$766.71 ,1699875,$777.75 ,$784.82 ,$765.89 
1/21/2025,$763.00 ,1332045,$763.00 ,$767.73 ,$755.49 
1/17/2025,$756.33 ,1933558,$767.91 ,$769.20 ,$751.50 
1/16/2025,$750.28 ,2407611,$758.80 ,$771.56 ,$748.46 
1/15/2025,$726.30 ,1864362,$739.46 ,$744.47 ,$725.19 
1/14/2025,$736.29 ,1022576,$737.54 ,$739.52 ,$728.06 
1/13/2025,$727.41 ,1321847,$721.20 ,$729.00 ,$717.59 
1/10/2025,$739.01 ,1515810,$751.00 ,$751.30 ,$735.40 
1/8/2025,$743.98 ,1185356,$753.00 ,$753.33 ,$737.00 
1/7/2025,$757.58 ,1490168,$775.00 ,$778.39 ,$753.49 
1/6/2025,$768.51 ,2761133,$751.06 ,$781.09 ,$749.65 
1/3/2025,$714.36 ,1064105,$703.16 ,$717.57 ,$702.58 
1/2/2025,$700.42 ,1116282,$705.34 ,$711.96 ,$696.34 
12/31/2024,$693.08 ,964971,$701.39 ,$702.98 ,$687.43 
12/30/2024,$696.15 ,1202603,$700.00 ,$702.81 ,$694.47 
12/27/2024,$713.59 ,942319,$717.49 ,$717.50 ,$708.59 
12/26/2024,$715.86 ,734798,$714.21 ,$720.50 ,$711.11 
12/24/2024,$719.71 ,586834,$716.39 ,$720.20 ,$715.00 
12/23/2024,$721.04 ,1232626,$707.10 ,$722.05 ,$707.08 
12/20/2024,$705.68 ,2701763,$700.15 ,$720.40 ,$696.28 
12/19/2024,$710.26 ,1622759,$717.75 ,$720.83 ,$708.78 
12/18/2024,$719.49 ,2257042,$748.51 ,$757.19 ,$715.48 
12/17/2024,$735.19 ,1753262,$740.00 ,$745.12 ,$732.68 
12/16/2024,$722.38 ,1542830,$720.05 ,$731.00 ,$713.33 
12/13/2024,$718.58 ,1455664,$718.58 ,$724.98 ,$716.22 
12/12/2024,$713.10 ,868707,$713.34 ,$719.88 ,$710.63 
12/11/2024,$714.43 ,1217552,$711.89 ,$718.00 ,$706.49 
12/10/2024,$705.27 ,1214669,$716.62 ,$718.30 ,$700.57 
12/9/2024,$706.52 ,1267465,$713.25 ,$723.21 ,$705.65 
12/6/2024,$708.98 ,1215435,$711.74 ,$717.21 ,$707.08 
12/5/2024,$711.50 ,1801140,$729.15 ,$729.22 ,$708.00 
12/4/2024,$719.92 ,1529828,$723.79 ,$724.94 ,$716.93 
12/3/2024,$718.06 ,1647225,$702.65 ,$721.33 ,$700.62 
12/2/2024,$711.47 ,2325913,$681.75 ,$713.68 ,$680.70 
11/29/2024,$686.61 ,1706533,$678.87 ,$699.65 ,$678.54 
11/27/2024,$670.48 ,1231751,$669.76 ,$672.69 ,$659.61 
11/26/2024,$671.97 ,1424053,$679.59 ,$681.85 ,$666.83 
11/25/2024,$684.47 ,1511334,$685.00 ,$686.71 ,$678.00 
11/22/2024,$672.88 ,1275596,$667.80 ,$674.80 ,$666.22 
11/21/2024,$672.16 ,2859043,$653.92 ,$673.06 ,$649.02 
11/20/2024,$658.43 ,1677808,$656.53 ,$658.48 ,$645.45 
11/19/2024,$662.16 ,1640722,$662.82 ,$671.41 ,$653.47 
11/18/2024,$665.23 ,2012643,$651.07 ,$668.86 ,$648.00 
11/15/2024,$658.63 ,3063214,$678.36 ,$679.88 ,$657.52 
11/14/2024,$692.96 ,3925296,$705.68 ,$712.00 ,$691.53 
11/13/2024,$673.41 ,2453675,$664.62 ,$673.68 ,$656.78 
11/12/2024,$669.18 ,1710979,$672.64 ,$676.54 ,$662.83 
11/11/2024,$671.31 ,1520061,$671.77 ,$671.99 ,$661.94 
11/8/2024,$669.47 ,1726789,$670.00 ,$671.24 ,$661.89 
11/7/2024,$677.21 ,1758311,$674.11 ,$679.84 ,$669.81 
11/6/2024,$661.43 ,3208584,$668.55 ,$673.04 ,$654.77 
11/5/2024,$676.46 ,1282017,$673.51 ,$685.52 ,$673.47 
11/4/2024,$671.16 ,1232509,$676.05 ,$678.43 ,$670.82 
11/1/2024,$674.73 ,1801716,$678.55 ,$682.76 ,$673.46 
10/31/2024,$672.55 ,2398265,$682.98 ,$683.00 ,$667.22 
10/30/2024,$683.83 ,3085186,$693.55 ,$695.62 ,$682.62 
10/29/2024,$715.14 ,1445456,$707.74 ,$715.94 ,$703.69 
10/28/2024,$708.65 ,1182820,$708.39 ,$711.50 ,$703.99 
10/25/2024,$711.70 ,1380123,$715.99 ,$723.25 ,$711.23 
10/24/2024,$710.81 ,1854661,$719.99 ,$720.00 ,$706.45 
10/23/2024,$708.62 ,1681361,$714.05 ,$716.31 ,$700.10 
10/22/2024,$720.91 ,2066983,$723.00 ,$724.11 ,$717.64 
10/21/2024,$714.10 ,2184820,$724.00 ,$724.85 ,$708.79 
10/18/2024,$723.26 ,4537798,$717.67 ,$726.46 ,$713.18 
