date,close_price,volume,open_price,high_price,low_price
2/28/2025,$199.43 ,39747250,$195.76 ,$201.19 ,$193.15 
2/27/2025,$197.80 ,27572890,$217.28 ,$219.25 ,$197.40 
2/26/2025,$212.94 ,21368300,$206.91 ,$213.54 ,$206.00 
2/25/2025,$202.54 ,33100810,$207.00 ,$208.64 ,$200.92 
2/24/2025,$207.93 ,33050430,$218.60 ,$219.48 ,$207.54 
2/21/2025,$218.66 ,24883560,$225.65 ,$227.75 ,$215.63 
2/20/2025,$226.74 ,16104000,$228.65 ,$228.98 ,$222.75 
2/19/2025,$228.73 ,16375490,$227.85 ,$229.07 ,$224.40 
2/18/2025,$228.53 ,26080550,$230.10 ,$232.20 ,$224.30 
2/14/2025,$233.04 ,16988780,$234.53 ,$235.74 ,$228.90 
2/13/2025,$235.80 ,20962030,$236.06 ,$236.95 ,$230.73 
2/12/2025,$236.35 ,16397340,$230.36 ,$236.48 ,$230.00 
2/11/2025,$235.04 ,18476200,$232.48 ,$237.89 ,$229.97 
2/10/2025,$235.04 ,23901640,$227.43 ,$235.82 ,$227.12 
2/7/2025,$224.87 ,22117470,$235.00 ,$235.65 ,$224.11 
2/6/2025,$231.36 ,21169530,$234.50 ,$234.80 ,$228.56 
2/5/2025,$232.00 ,29250580,$233.94 ,$237.93 ,$227.50 
2/4/2025,$222.43 ,23768520,$219.35 ,$223.03 ,$215.30 
2/3/2025,$217.73 ,24507270,$215.46 ,$220.94 ,$213.51 
1/31/2025,$221.27 ,41150980,$219.66 ,$226.80 ,$216.30 
1/30/2025,$215.66 ,42449480,$218.57 ,$221.96 ,$213.70 
1/29/2025,$206.35 ,32533740,$208.84 ,$211.45 ,$202.77 
1/28/2025,$207.36 ,50315990,$208.01 ,$209.95 ,$198.89 
1/27/2025,$202.13 ,90569380,$213.40 ,$218.43 ,$196.23 
1/24/2025,$244.70 ,25387830,$244.70 ,$249.59 ,$241.91 
1/23/2025,$240.28 ,17653940,$238.41 ,$240.40 ,$236.12 
1/22/2025,$240.91 ,29610500,$246.75 ,$246.99 ,$240.69 
1/21/2025,$240.31 ,30903190,$241.50 ,$242.75 ,$237.40 
1/17/2025,$237.44 ,31196640,$237.08 ,$238.10 ,$232.66 
1/16/2025,$229.41 ,23471870,$235.22 ,$238.60 ,$229.21 
1/15/2025,$228.00 ,21745620,$228.55 ,$230.34 ,$225.58 
1/14/2025,$224.70 ,18143120,$226.57 ,$230.26 ,$223.10 
1/13/2025,$225.29 ,23772090,$219.99 ,$229.26 ,$219.51 
1/10/2025,$224.31 ,23864010,$227.30 ,$227.83 ,$221.25 
1/8/2025,$229.31 ,18756490,$229.70 ,$232.47 ,$226.06 
1/7/2025,$228.64 ,25928610,$239.50 ,$239.50 ,$227.60 
1/6/2025,$236.41 ,34028380,$236.50 ,$241.75 ,$233.30 
1/3/2025,$232.55 ,24973190,$233.59 ,$236.49 ,$229.00 
1/2/2025,$231.98 ,31525830,$236.16 ,$239.50 ,$230.24 
