date,close_price,volume,open_price,high_price,low_price
2/28/2025,"$1,048.61 ",3307117,"$1,030.61 ","$1,049.38 ","$1,023.99 "
2/27/2025,"$1,021.71 ",1629074,"$1,034.00 ","$1,042.53 ","$1,018.83 "
2/26/2025,"$1,031.97 ",1555684,"$1,050.14 ","$1,058.89 ","$1,030.18 "
2/25/2025,"$1,055.66 ",2083802,"$1,040.73 ","$1,057.02 ","$1,037.46 "
2/24/2025,"$1,035.60 ",1759749,"$1,028.54 ","$1,038.19 ","$1,025.22 "
2/21/2025,"$1,035.03 ",1816308,"$1,034.61 ","$1,036.21 ","$1,024.68 "
2/20/2025,"$1,034.83 ",2000545,"$1,053.64 ","$1,053.64 ","$1,033.85 "
2/19/2025,"$1,062.54 ",1349634,"$1,056.06 ","$1,063.18 ","$1,053.00 "
2/18/2025,"$1,056.03 ",2090589,"$1,069.21 ","$1,071.00 ","$1,045.24 "
2/14/2025,"$1,071.85 ",1410728,"$1,076.48 ","$1,077.49 ","$1,068.01 "
2/13/2025,"$1,076.86 ",1623281,"$1,067.01 ","$1,078.24 ","$1,064.65 "
2/12/2025,"$1,065.12 ",1662315,"$1,054.15 ","$1,067.00 ","$1,051.00 "
2/11/2025,"$1,058.34 ",1748505,"$1,059.91 ","$1,066.00 ","$1,049.04 "
2/10/2025,"$1,061.92 ",2036894,"$1,052.00 ","$1,063.00 ","$1,046.00 "
2/7/2025,"$1,043.81 ",1632854,"$1,047.00 ","$1,056.71 ","$1,035.51 "
2/6/2025,"$1,050.99 ",2218045,"$1,050.00 ","$1,063.00 ","$1,044.20 "
2/5/2025,"$1,042.88 ",2050058,"$1,020.00 ","$1,043.09 ","$1,020.00 "
2/4/2025,"$1,021.86 ",2001641,"$1,005.40 ","$1,024.35 ",$999.65 
2/3/2025,"$1,005.83 ",2751018,$972.39 ,"$1,009.61 ",$968.94 
1/31/2025,$979.88 ,1875713,$976.24 ,$991.00 ,$975.78 
1/30/2025,$979.01 ,1788180,$970.30 ,$986.75 ,$970.10 
1/29/2025,$964.02 ,1713749,$957.80 ,$968.26 ,$955.00 
1/28/2025,$958.67 ,2166375,$961.83 ,$965.71 ,$954.07 
1/27/2025,$965.25 ,3044682,$930.00 ,$966.99 ,$927.18 
1/24/2025,$939.68 ,1562422,$942.16 ,$946.04 ,$933.56 
1/23/2025,$942.16 ,1352440,$941.69 ,$943.39 ,$936.49 
1/22/2025,$944.70 ,2154991,$951.23 ,$951.94 ,$939.24 
1/21/2025,$947.73 ,2042443,$945.25 ,$956.55 ,$943.50 
1/17/2025,$943.19 ,2375012,$930.00 ,$943.80 ,$924.57 
1/16/2025,$919.75 ,1352957,$924.73 ,$927.40 ,$917.82 
1/15/2025,$923.50 ,1839386,$927.26 ,$932.87 ,$918.30 
1/14/2025,$917.23 ,1683757,$924.30 ,$927.76 ,$909.92 
1/13/2025,$924.70 ,1693763,$934.00 ,$934.99 ,$921.00 
1/10/2025,$936.94 ,2765797,$933.36 ,$944.28 ,$923.50 
1/8/2025,$927.37 ,1774763,$922.98 ,$930.50 ,$915.42 
1/7/2025,$921.37 ,1887982,$923.84 ,$931.31 ,$916.43 
1/6/2025,$922.71 ,1970405,$917.98 ,$927.41 ,$913.27 
1/3/2025,$916.58 ,1614211,$914.33 ,$924.21 ,$911.00 
1/2/2025,$909.81 ,1767658,$915.00 ,$925.77 ,$902.00 
12/31/2024,$916.27 ,1742939,$923.65 ,$924.74 ,$912.54 
12/30/2024,$922.21 ,1881241,$931.00 ,$934.17 ,$915.50 
12/27/2024,$939.70 ,1943440,$948.72 ,$950.45 ,$932.00 
12/26/2024,$956.14 ,969936,$956.82 ,$959.41 ,$954.00 
12/24/2024,$958.82 ,939029,$950.74 ,$959.38 ,$945.45 
12/23/2024,$949.91 ,1856831,$953.88 ,$954.26 ,$937.00 
