date,close_price,volume,open_price,high_price,low_price
02/07/2025,$206.76 ,5230997,$210.37 ,$210.79 ,$205.79 
02/06/2025,$210.01 ,4367117,$213.00 ,$214.31 ,$209.10 
02/05/2025,$212.13 ,5112712,$216.36 ,$216.44 ,$210.93 
02/04/2025,$215.01 ,7520700,$210.50 ,$215.15 ,$210.04 
02/03/2025,$214.26 ,5787848,$218.00 ,$219.94 ,$214.03 
1/31/2025,$222.74 ,4785871,$223.30 ,$227.50 ,$222.37 
1/30/2025,$223.08 ,6668401,$225.00 ,$228.99 ,$221.34 
1/29/2025,$223.73 ,11407450,$235.02 ,$235.74 ,$223.00 
1/28/2025,$247.84 ,4273748,$257.67 ,$258.23 ,$247.19 
1/27/2025,$250.59 ,2748518,$247.52 ,$250.76 ,$246.46 
1/24/2025,$245.80 ,1911411,$245.60 ,$247.53 ,$245.02 
1/23/2025,$245.66 ,2512460,$244.93 ,$245.85 ,$241.80 
1/22/2025,$244.18 ,2050108,$243.44 ,$246.25 ,$242.50 
1/21/2025,$244.11 ,2338322,$239.95 ,$244.49 ,$239.00 
1/17/2025,$238.36 ,3075288,$242.17 ,$243.05 ,$238.17 
1/16/2025,$241.90 ,3148925,$237.72 ,$242.11 ,$234.60 
1/15/2025,$237.97 ,4129048,$238.98 ,$241.69 ,$232.96 
1/14/2025,$237.62 ,4137624,$241.17 ,$242.15 ,$232.05 
1/13/2025,$239.88 ,3301781,$235.05 ,$240.97 ,$234.01 
01/10/2025,$235.07 ,2863272,$235.55 ,$238.71 ,$234.50 
01/08/2025,$238.09 ,2527729,$238.61 ,$239.39 ,$235.50 
01/07/2025,$239.10 ,2989329,$238.00 ,$243.15 ,$238.00 
01/06/2025,$238.20 ,3674564,$234.15 ,$240.23 ,$233.70 
01/03/2025,$234.84 ,2381138,$230.08 ,$235.93 ,$229.56 
01/02/2025,$229.81 ,2762037,$230.85 ,$231.85 ,$228.57 
12/31/2024,$229.55 ,2077923,$230.46 ,$232.00 ,$228.67 
12/30/2024,$229.65 ,2008091,$229.47 ,$230.56 ,$227.58 
12/27/2024,$231.10 ,2130520,$229.40 ,$232.14 ,$229.40 
12/26/2024,$231.28 ,1512536,$229.33 ,$231.49 ,$229.17 
12/24/2024,$230.75 ,988300,$228.53 ,$231.00 ,$228.00 
12/23/2024,$229.16 ,2798812,$227.94 ,$229.63 ,$226.76 
12/20/2024,$228.55 ,7073596,$226.96 ,$230.81 ,$225.42 
12/19/2024,$226.16 ,4553880,$228.10 ,$231.07 ,$225.84 
12/18/2024,$228.30 ,5221601,$230.89 ,$234.33 ,$228.09 
12/17/2024,$233.53 ,3211094,$234.13 ,$237.96 ,$233.26 
12/16/2024,$234.18 ,4474422,$234.77 ,$236.83 ,$233.68 
12/13/2024,$234.89 ,2417967,$234.13 ,$235.50 ,$232.00 
12/12/2024,$234.50 ,3996846,$234.20 ,$236.42 ,$233.41 
12/11/2024,$235.40 ,3370358,$235.80 ,$237.72 ,$234.34 
12/10/2024,$234.34 ,2753312,$236.93 ,$237.19 ,$233.90 
12/09/2024,$235.91 ,2625321,$229.58 ,$236.33 ,$229.29 
12/06/2024,$230.12 ,3099532,$228.45 ,$231.01 ,$228.01 
12/05/2024,$227.87 ,5335656,$235.00 ,$235.75 ,$227.20 
12/04/2024,$236.26 ,4167450,$238.96 ,$239.47 ,$234.19 
12/03/2024,$240.87 ,3035317,$240.66 ,$241.67 ,$238.87 
12/02/2024,$241.29 ,2520245,$239.41 ,$241.58 ,$238.20 
11/29/2024,$239.69 ,1931402,$239.53 ,$241.61 ,$238.30 
11/27/2024,$238.83 ,2271494,$237.25 ,$240.95 ,$235.67 
11/26/2024,$236.58 ,2377740,$237.50 ,$238.10 ,$233.15 
11/25/2024,$237.68 ,4460644,$236.17 ,$239.38 ,$235.45 
11/22/2024,$235.84 ,2330161,$234.49 ,$236.93 ,$234.49 
11/21/2024,$235.05 ,2537010,$233.92 ,$235.18 ,$230.38 
11/20/2024,$233.10 ,2662158,$229.50 ,$233.73 ,$228.89 
11/19/2024,$230.84 ,2608255,$229.66 ,$231.91 ,$228.73 
11/18/2024,$230.06 ,3932989,$230.00 ,$230.73 ,$228.25 
11/15/2024,$230.50 ,5435775,$236.15 ,$237.43 ,$229.00 
11/14/2024,$239.38 ,3154264,$240.59 ,$240.94 ,$237.31 
11/13/2024,$241.53 ,2133727,$239.60 ,$242.06 ,$238.97 
11/12/2024,$239.60 ,3077031,$244.51 ,$244.51 ,$239.29 
11/11/2024,$243.25 ,3475317,$245.00 ,$246.15 ,$241.43 
11/08/2024,$245.39 ,2941170,$247.05 ,$247.13 ,$244.12 
11/07/2024,$246.10 ,2528016,$249.70 ,$250.04 ,$245.74 
11/06/2024,$247.76 ,2930331,$252.07 ,$252.94 ,$245.15 
11/05/2024,$250.07 ,1697740,$245.66 ,$250.82 ,$245.32 
11/04/2024,$247.18 ,1836428,$248.78 ,$251.47 ,$245.99 
11/01/2024,$247.76 ,2638494,$248.96 ,$252.95 ,$247.27 
10/31/2024,$245.66 ,4948759,$243.89 ,$248.50 ,$242.34 
10/30/2024,$242.32 ,2553468,$242.14 ,$244.42 ,$241.10 
10/29/2024,$242.69 ,3547215,$243.18 ,$244.94 ,$241.76 
10/28/2024,$244.12 ,2031600,$246.12 ,$247.35 ,$243.03 
10/25/2024,$245.39 ,3226925,$250.30 ,$250.38 ,$244.89 
10/24/2024,$248.00 ,3989252,$255.25 ,$255.70 ,$247.82 
10/23/2024,$256.00 ,4717150,$258.44 ,$260.88 ,$254.20 
10/22/2024,$261.28 ,4496440,$264.03 ,$269.24 ,$260.61 
10/21/2024,$272.09 ,2359613,$273.10 ,$274.21 ,$270.29 
10/18/2024,$274.38 ,1949849,$272.53 ,$275.51 ,$271.31 
10/17/2024,$271.98 ,3222112,$277.50 ,$279.41 ,$270.97 
10/16/2024,$268.03 ,2820017,$271.00 ,$271.82 ,$266.30 
10/15/2024,$272.68 ,1905384,$272.38 ,$275.52 ,$271.81 
10/14/2024,$271.56 ,1901419,$270.40 ,$272.31 ,$268.87 
10/11/2024,$270.33 ,1747177,$267.64 ,$272.15 ,$267.12 
10/10/2024,$266.45 ,1531832,$268.37 ,$269.12 ,$265.50 
10/09/2024,$269.23 ,1507978,$269.78 ,$270.48 ,$266.82 
10/08/2024,$268.81 ,1431916,$266.98 ,$270.35 ,$266.50 
10/07/2024,$268.79 ,1153297,$268.50 ,$270.50 ,$267.47 
10/04/2024,$270.03 ,1132669,$271.56 ,$272.56 ,$268.65 
10/03/2024,$270.52 ,1332096,$272.86 ,$273.30 ,$269.57 
10/02/2024,$273.91 ,1111813,$274.49 ,$275.60 ,$271.03 
10/01/2024,$274.56 ,1367222,$278.62 ,$278.62 ,$273.02 
9/30/2024,$278.02 ,1500593,$275.73 ,$278.33 ,$273.74 
9/27/2024,$275.44 ,1337457,$277.49 ,$279.59 ,$275.39 
9/26/2024,$276.93 ,2713534,$272.85 ,$279.90 ,$270.91 
9/25/2024,$267.88 ,2535473,$276.17 ,$276.21 ,$266.86 
9/24/2024,$274.20 ,2834522,$272.54 ,$275.73 ,$271.04 
9/23/2024,$273.15 ,1954577,$273.73 ,$274.91 ,$271.83 
9/20/2024,$272.63 ,9267310,$275.28 ,$275.28 ,$270.26 
9/19/2024,$276.43 ,3293977,$275.44 ,$278.29 ,$273.60 
9/18/2024,$271.90 ,2477914,$271.68 ,$275.87 ,$268.04 
9/17/2024,$272.47 ,2158592,$275.90 ,$276.43 ,$271.06 
9/16/2024,$276.03 ,1904525,$276.69 ,$278.28 ,$275.50 
9/13/2024,$274.25 ,2248476,$272.90 ,$274.91 ,$271.31 
09/12/2024,$272.49 ,2606572,$271.78 ,$273.03 ,$267.56 
09/11/2024,$271.98 ,2536291,$273.78 ,$273.78 ,$268.33 
