Date,Close/Last,Volume,Open,High,Low
2/7/2025,$110.86 ,8669320,$111.61 ,$112.55 ,$110.81 
2/6/2025,$112.09 ,12470790,$111.88 ,$112.68 ,$109.15 
2/5/2025,$110.54 ,23309980,$115.70 ,$118.59 ,$110.23 
2/4/2025,$113.30 ,13521150,$113.80 ,$114.66 ,$112.51 
2/3/2025,$114.00 ,8870666,$111.35 ,$114.60 ,$110.86 
1/31/2025,$113.06 ,7797690,$113.30 ,$114.01 ,$112.76 
1/30/2025,$113.43 ,6236187,$114.09 ,$115.18 ,$113.12 
1/29/2025,$113.19 ,7607068,$113.50 ,$114.38 ,$112.76 
1/28/2025,$112.14 ,6516763,$112.85 ,$112.96 ,$111.56 
1/27/2025,$113.34 ,10176940,$111.68 ,$114.08 ,$111.46 
1/24/2025,$112.16 ,8304478,$111.16 ,$113.39 ,$110.63 
1/23/2025,$111.04 ,7608265,$108.50 ,$111.07 ,$108.49 
1/22/2025,$108.81 ,8781705,$109.55 ,$109.55 ,$108.23 
1/21/2025,$108.70 ,8643694,$107.10 ,$109.45 ,$106.80 
1/17/2025,$107.02 ,7144263,$106.83 ,$107.74 ,$106.54 
1/16/2025,$106.46 ,7872767,$108.29 ,$108.60 ,$106.16 
1/15/2025,$108.18 ,6296861,$109.17 ,$109.60 ,$107.99 
1/14/2025,$108.12 ,5501600,$108.68 ,$108.96 ,$107.61 
1/13/2025,$108.08 ,6690232,$107.93 ,$108.61 ,$106.72 
1/10/2025,$108.65 ,8835518,$110.00 ,$110.54 ,$107.62 
1/8/2025,$109.76 ,7805312,$111.00 ,$111.11 ,$108.64 
1/7/2025,$111.39 ,7878807,$112.15 ,$113.74 ,$111.29 
1/6/2025,$111.05 ,6274419,$111.47 ,$112.85 ,$110.87 
1/3/2025,$111.16 ,5394318,$111.37 ,$111.54 ,$110.18 
1/2/2025,$110.82 ,5688086,$111.70 ,$112.20 ,$110.17 
12/31/2024,$111.35 ,4757538,$110.78 ,$111.59 ,$110.67 
12/30/2024,$110.80 ,5716337,$110.43 ,$111.54 ,$109.83 
12/27/2024,$111.55 ,4523820,$111.82 ,$112.12 ,$110.86 
12/26/2024,$112.55 ,4782814,$112.12 ,$113.32 ,$111.86 
12/24/2024,$112.56 ,2474994,$111.25 ,$112.74 ,$111.19 
12/23/2024,$111.40 ,6037212,$111.61 ,$111.85 ,$110.31 
12/20/2024,$112.03 ,17955330,$110.61 ,$112.97 ,$110.43 
12/19/2024,$111.37 ,9468516,$111.66 ,$112.91 ,$111.25 
12/18/2024,$111.35 ,12292780,$113.34 ,$116.12 ,$111.24 
12/17/2024,$113.02 ,12238620,$111.03 ,$114.04 ,$110.80 
12/16/2024,$112.11 ,10528530,$113.00 ,$113.07 ,$111.73 
12/13/2024,$113.34 ,6864475,$114.32 ,$114.96 ,$113.30 
12/12/2024,$114.90 ,5285116,$114.70 ,$115.01 ,$114.16 
12/11/2024,$114.61 ,6426831,$114.64 ,$115.05 ,$113.98 
12/10/2024,$114.73 ,7526428,$114.65 ,$114.95 ,$113.72 
12/9/2024,$114.61 ,8666121,$116.39 ,$117.18 ,$113.91 
12/6/2024,$116.73 ,6677906,$116.55 ,$117.26 ,$116.22 
12/5/2024,$116.50 ,9823556,$116.55 ,$117.27 ,$116.06 
12/4/2024,$116.99 ,7996244,$115.97 ,$117.29 ,$115.84 
12/3/2024,$116.45 ,9193973,$117.00 ,$117.23 ,$115.45 
12/2/2024,$117.16 ,8390465,$117.78 ,$118.63 ,$116.55 
11/29/2024,$117.47 ,5095150,$117.26 ,$117.74 ,$116.73 
11/27/2024,$117.60 ,8142388,$115.45 ,$118.20 ,$115.45 
11/26/2024,$115.45 ,6808149,$116.00 ,$116.42 ,$115.44 
11/25/2024,$116.00 ,10397810,$115.68 ,$116.58 ,$114.93 
11/22/2024,$115.65 ,10098040,$113.85 ,$116.34 ,$113.60 
11/21/2024,$114.72 ,10260980,$114.15 ,$116.25 ,$113.83 
11/20/2024,$114.26 ,9319270,$112.26 ,$114.37 ,$111.47 
11/19/2024,$112.42 ,12166780,$112.05 ,$112.50 ,$110.82 
11/18/2024,$113.54 ,14236560,$113.33 ,$115.44 ,$112.89 
