Date,Close/Last,Volume,Open,High,Low
2/7/2025,$205.52 ,6696581,$212.00 ,$213.40 ,$205.38 
2/6/2025,$209.82 ,12185280,$215.00 ,$215.24 ,$206.18 
2/5/2025,$222.35 ,4596931,$223.55 ,$224.21 ,$219.25 
2/4/2025,$223.55 ,3442900,$224.57 ,$225.70 ,$223.11 
2/3/2025,$222.41 ,3220569,$222.50 ,$223.30 ,$219.66 
1/31/2025,$223.72 ,2481816,$222.85 ,$225.95 ,$222.55 
1/30/2025,$224.06 ,1813433,$222.05 ,$224.70 ,$221.58 
1/29/2025,$221.05 ,1916268,$220.95 ,$222.80 ,$220.65 
1/28/2025,$220.70 ,3599491,$224.72 ,$224.72 ,$220.17 
1/27/2025,$225.71 ,3111027,$220.25 ,$225.87 ,$220.10 
1/24/2025,$221.51 ,6332908,$225.00 ,$227.15 ,$221.28 
1/23/2025,$225.66 ,3036822,$223.45 ,$226.07 ,$222.75 
1/22/2025,$223.09 ,2972518,$224.00 ,$224.54 ,$222.64 
1/21/2025,$225.07 ,4656600,$223.37 ,$227.73 ,$223.19 
1/17/2025,$222.58 ,3349234,$226.84 ,$226.87 ,$222.29 
1/16/2025,$222.69 ,4611744,$220.00 ,$224.53 ,$219.92 
1/15/2025,$219.54 ,4647771,$219.78 ,$220.53 ,$216.19 
1/14/2025,$218.50 ,4021811,$220.34 ,$220.51 ,$214.60 
1/13/2025,$219.10 ,5392319,$217.67 ,$228.97 ,$217.42 
1/10/2025,$218.19 ,3585164,$219.97 ,$220.00 ,$216.28 
1/8/2025,$220.17 ,3120530,$220.09 ,$221.38 ,$219.20 
1/7/2025,$220.63 ,3016422,$221.50 ,$223.08 ,$219.91 
1/6/2025,$221.74 ,3829308,$224.68 ,$226.92 ,$221.36 
1/3/2025,$226.52 ,2637525,$225.98 ,$227.42 ,$225.86 
1/2/2025,$225.52 ,2089908,$227.07 ,$227.99 ,$224.65 
12/31/2024,$225.89 ,1936889,$227.15 ,$227.55 ,$225.60 
12/30/2024,$226.60 ,2371579,$227.15 ,$227.43 ,$225.40 
12/27/2024,$229.51 ,3053908,$231.00 ,$231.56 ,$228.80 
12/26/2024,$231.86 ,3072184,$228.78 ,$232.01 ,$228.42 
12/24/2024,$228.90 ,1873589,$226.65 ,$229.28 ,$225.65 
12/23/2024,$227.14 ,3467872,$227.77 ,$228.25 ,$225.95 
12/20/2024,$228.32 ,6833319,$225.16 ,$229.75 ,$224.62 
12/19/2024,$226.88 ,4871103,$228.62 ,$233.50 ,$226.30 
12/18/2024,$226.86 ,6428865,$233.70 ,$234.70 ,$226.41 
12/17/2024,$233.13 ,5382412,$238.16 ,$238.31 ,$231.64 
12/16/2024,$236.00 ,8197292,$232.46 ,$237.94 ,$230.15 
12/13/2024,$227.62 ,2432344,$225.94 ,$229.09 ,$225.87 
12/12/2024,$227.69 ,2715885,$227.75 ,$229.94 ,$227.34 
12/11/2024,$229.06 ,4382520,$231.89 ,$234.00 ,$227.86 
12/10/2024,$229.08 ,3547932,$225.16 ,$229.54 ,$224.58 
12/9/2024,$225.09 ,2542823,$226.64 ,$227.74 ,$224.94 
12/6/2024,$226.38 ,3180066,$227.29 ,$227.96 ,$225.71 
12/5/2024,$226.29 ,5183727,$229.95 ,$230.14 ,$225.51 
12/4/2024,$229.79 ,2654773,$227.40 ,$230.14 ,$226.79 
12/3/2024,$226.96 ,4023330,$228.14 ,$229.20 ,$223.16 
12/2/2024,$229.95 ,3225380,$233.19 ,$233.71 ,$229.81 
11/29/2024,$232.93 ,1917465,$229.41 ,$233.27 ,$229.41 
11/27/2024,$229.64 ,2870048,$232.18 ,$232.96 ,$229.47 
11/26/2024,$230.40 ,4203200,$231.80 ,$232.50 ,$229.85 
11/25/2024,$230.60 ,3837698,$231.12 ,$231.99 ,$229.70 
11/22/2024,$229.11 ,3834380,$227.75 ,$230.12 ,$227.12 
11/21/2024,$226.09 ,5630844,$228.00 ,$228.87 ,$224.82 
11/20/2024,$226.67 ,4633042,$227.24 ,$228.89 ,$225.41 
11/19/2024,$228.20 ,3696895,$227.33 ,$228.91 ,$226.27 
11/18/2024,$228.85 ,3446209,$229.48 ,$230.07 ,$228.27 
11/15/2024,$228.99 ,3707893,$229.00 ,$231.20 ,$228.39 
11/14/2024,$230.67 ,3837299,$232.99 ,$234.57 ,$230.29 
11/13/2024,$233.07 ,5531218,$235.00 ,$236.53 ,$232.18 
11/12/2024,$233.91 ,11088660,$239.36 ,$242.77 ,$229.58 
11/11/2024,$225.24 ,7298570,$219.20 ,$225.32 ,$219.20 
11/8/2024,$219.49 ,5694771,$217.45 ,$219.71 ,$216.51 
11/7/2024,$217.50 ,5373275,$216.95 ,$218.35 ,$215.42 
11/6/2024,$216.40 ,6152479,$212.06 ,$216.89 ,$209.09 
11/5/2024,$208.78 ,7377556,$208.20 ,$211.84 ,$206.62 
11/4/2024,$207.54 ,4030035,$208.83 ,$208.83 ,$206.42 
11/1/2024,$209.19 ,4484366,$206.29 ,$209.53 ,$205.78 
10/31/2024,$205.68 ,4654890,$204.65 ,$206.15 ,$203.39 
10/30/2024,$204.20 ,5354151,$204.45 ,$206.63 ,$203.09 
