date,close_price,volume,open_price,high_price,low_price
02/07/2025,$19.10 ,58277920,$19.35 ,$19.36 ,$19.03 
02/06/2025,$19.38 ,45553770,$19.51 ,$19.70 ,$19.22 
02/05/2025,$19.65 ,66250250,$19.19 ,$19.77 ,$18.91 
02/04/2025,$19.29 ,54098200,$19.10 ,$19.53 ,$19.02 
02/03/2025,$19.38 ,77523140,$18.97 ,$19.75 ,$18.78 
1/31/2025,$19.43 ,117474900,$20.10 ,$20.33 ,$19.38 
1/30/2025,$20.01 ,108167000,$19.72 ,$20.10 ,$19.43 
1/29/2025,$19.75 ,86506820,$19.87 ,$20.08 ,$19.66 
1/28/2025,$19.80 ,73411390,$20.34 ,$20.34 ,$19.74 
1/27/2025,$20.29 ,83582100,$20.81 ,$21.06 ,$20.14 
1/24/2025,$20.83 ,66300610,$21.36 ,$21.41 ,$20.75 
1/23/2025,$21.57 ,55778160,$21.69 ,$21.75 ,$21.35 
1/22/2025,$21.86 ,60972580,$21.73 ,$22.29 ,$21.57 
1/21/2025,$21.77 ,96262180,$22.03 ,$22.41 ,$21.75 
1/17/2025,$21.49 ,166483900,$21.26 ,$21.62 ,$20.79 
1/16/2025,$19.67 ,44898060,$19.75 ,$19.95 ,$19.40 
1/15/2025,$19.72 ,56305990,$19.40 ,$19.77 ,$19.17 
1/14/2025,$19.20 ,47147530,$19.36 ,$19.52 ,$18.82 
1/13/2025,$19.20 ,50668970,$18.92 ,$19.25 ,$18.73 
01/10/2025,$19.15 ,71244580,$19.66 ,$19.66 ,$18.91 
01/08/2025,$19.88 ,47897070,$19.83 ,$20.12 ,$19.71 
01/07/2025,$20.01 ,61726060,$20.02 ,$20.34 ,$19.90 
01/06/2025,$19.87 ,83270990,$20.83 ,$20.98 ,$19.78 
01/03/2025,$20.56 ,48983940,$20.39 ,$20.67 ,$20.06 
01/02/2025,$20.22 ,46438530,$20.23 ,$20.43 ,$20.00 
12/31/2024,$20.05 ,49846660,$19.99 ,$20.40 ,$19.88 
12/30/2024,$19.82 ,59608130,$20.01 ,$20.12 ,$19.73 
12/27/2024,$20.30 ,48260830,$20.21 ,$20.61 ,$20.09 
12/26/2024,$20.44 ,39950380,$20.23 ,$20.67 ,$20.08 
12/24/2024,$20.40 ,29884030,$20.22 ,$20.40 ,$19.96 
12/23/2024,$20.20 ,57988380,$19.58 ,$20.23 ,$19.52 
12/20/2024,$19.52 ,108453700,$18.97 ,$19.76 ,$18.90 
12/19/2024,$19.06 ,69117810,$19.53 ,$19.69 ,$19.03 
12/18/2024,$19.30 ,86041240,$20.48 ,$20.58 ,$19.21 
12/17/2024,$20.44 ,51767150,$20.64 ,$20.77 ,$20.29 
12/16/2024,$20.83 ,73832890,$20.17 ,$21.10 ,$20.00 
12/13/2024,$20.34 ,55104080,$20.60 ,$20.80 ,$20.25 
12/12/2024,$20.78 ,77695010,$20.02 ,$20.90 ,$19.92 
12/11/2024,$20.12 ,75209340,$20.14 ,$20.25 ,$19.87 
12/10/2024,$20.16 ,90004830,$20.83 ,$20.86 ,$19.96 
12/09/2024,$20.81 ,68818220,$20.92 ,$21.06 ,$20.73 
12/06/2024,$20.92 ,78539130,$20.95 ,$21.05 ,$20.66 
12/05/2024,$20.80 ,167993500,$22.04 ,$22.19 ,$20.66 
12/04/2024,$21.96 ,104649000,$22.53 ,$22.54 ,$21.81 
12/03/2024,$22.47 ,138160500,$23.68 ,$23.75 ,$22.44 
12/02/2024,$23.93 ,150497900,$24.84 ,$25.48 ,$23.44 
11/29/2024,$24.05 ,36616750,$23.72 ,$24.28 ,$23.60 
11/27/2024,$23.65 ,53992320,$23.83 ,$23.93 ,$23.06 
11/26/2024,$24.05 ,69613560,$24.95 ,$24.99 ,$23.81 
11/25/2024,$24.87 ,91128390,$25.04 ,$25.57 ,$24.76 
11/22/2024,$24.50 ,36784720,$24.35 ,$24.68 ,$24.14 
11/21/2024,$24.44 ,58928410,$24.08 ,$24.77 ,$23.83 
11/20/2024,$24.01 ,50191510,$24.07 ,$24.21 ,$23.55 
11/19/2024,$24.20 ,61190860,$24.50 ,$24.54 ,$24.10 
11/18/2024,$24.84 ,59667330,$24.33 ,$25.02 ,$24.16 
11/15/2024,$24.35 ,55104880,$24.81 ,$24.82 ,$24.23 
11/14/2024,$25.03 ,49252120,$25.12 ,$25.61 ,$24.93 
11/13/2024,$24.92 ,58201970,$24.06 ,$25.14 ,$24.02 
11/12/2024,$24.16 ,62539730,$24.66 ,$24.96 ,$23.89 
11/11/2024,$25.05 ,80185320,$25.96 ,$26.29 ,$24.83 
11/08/2024,$26.20 ,76427980,$26.00 ,$26.43 ,$25.83 
11/07/2024,$26.23 ,101489300,$25.43 ,$26.38 ,$25.19 
11/06/2024,$25.05 ,116760500,$24.30 ,$25.12 ,$24.05 
11/05/2024,$23.32 ,59153330,$22.58 ,$23.58 ,$22.40 
11/04/2024,$22.52 ,84616300,$22.96 ,$23.00 ,$22.00 
11/01/2024,$23.20 ,173471100,$23.00 ,$23.58 ,$21.91 
10/31/2024,$21.52 ,112485500,$22.15 ,$22.25 ,$21.47 
10/30/2024,$22.30 ,50941230,$22.42 ,$22.93 ,$22.26 
10/29/2024,$22.90 ,83422240,$22.87 ,$23.14 ,$22.41 
10/28/2024,$22.92 ,41914970,$22.67 ,$23.27 ,$22.56 
10/25/2024,$22.68 ,67502980,$22.42 ,$23.34 ,$22.41 
10/24/2024,$22.34 ,40554420,$22.09 ,$22.37 ,$21.97 
10/23/2024,$21.98 ,45799050,$22.30 ,$22.43 ,$21.58 
10/22/2024,$22.40 ,50160380,$22.73 ,$22.82 ,$22.17 
10/21/2024,$22.84 ,39726990,$22.61 ,$22.88 ,$22.25 
10/18/2024,$22.77 ,39971700,$22.61 ,$22.82 ,$22.50 
10/17/2024,$22.44 ,43807580,$22.72 ,$22.82 ,$22.40 
10/16/2024,$22.31 ,62151770,$22.38 ,$22.54 ,$21.74 
10/15/2024,$22.66 ,68900560,$23.41 ,$23.72 ,$22.47 
10/14/2024,$23.44 ,35403650,$23.58 ,$23.77 ,$23.27 
10/11/2024,$23.56 ,43585250,$23.05 ,$23.82 ,$22.98 
10/10/2024,$23.22 ,44874580,$23.19 ,$23.53 ,$22.96 
10/09/2024,$23.46 ,44759020,$23.25 ,$23.48 ,$23.06 
10/08/2024,$23.32 ,58650460,$22.25 ,$23.42 ,$22.05 
10/07/2024,$22.38 ,54928670,$22.40 ,$22.65 ,$22.02 
10/04/2024,$22.59 ,49966930,$22.70 ,$22.91 ,$22.30 
10/03/2024,$22.26 ,49565930,$22.14 ,$22.73 ,$21.65 
10/02/2024,$22.39 ,59033900,$22.67 ,$23.07 ,$22.35 
10/01/2024,$22.69 ,86344360,$23.46 ,$23.72 ,$22.26 
9/30/2024,$23.46 ,66460230,$23.74 ,$23.95 ,$23.09 
9/27/2024,$23.91 ,85883280,$24.16 ,$24.66 ,$23.70 
