date,close_price,volume,open_price,high_price,low_price
2/28/2025,$165.02 ,12037420,$164.31 ,$165.94 ,$162.70 
2/27/2025,$163.73 ,8364573,$162.31 ,$163.95 ,$161.73 
2/26/2025,$163.08 ,11396410,$165.08 ,$165.13 ,$162.56 
2/25/2025,$166.09 ,12303700,$164.10 ,$166.43 ,$163.94 
2/24/2025,$163.74 ,10201920,$162.68 ,$164.87 ,$162.05 
2/21/2025,$162.30 ,12546930,$159.88 ,$163.51 ,$159.28 
2/20/2025,$159.68 ,7224030,$156.95 ,$159.95 ,$156.95 
2/19/2025,$157.89 ,7974736,$155.00 ,$158.30 ,$154.75 
2/18/2025,$154.99 ,9670657,$154.14 ,$155.45 ,$153.24 
2/14/2025,$156.15 ,6411840,$157.29 ,$157.47 ,$156.06 
2/13/2025,$157.25 ,10705080,$155.26 ,$158.13 ,$154.79 
2/12/2025,$155.26 ,7746014,$155.27 ,$155.66 ,$154.27 
2/11/2025,$156.13 ,7554811,$154.11 ,$156.39 ,$153.94 
2/10/2025,$154.24 ,6936561,$153.61 ,$154.37 ,$152.29 
2/7/2025,$153.12 ,6204916,$153.53 ,$154.49 ,$152.80 
2/6/2025,$153.51 ,7418468,$154.79 ,$154.84 ,$153.38 
2/5/2025,$154.69 ,8946957,$153.82 ,$154.73 ,$153.31 
2/4/2025,$153.49 ,9645289,$151.36 ,$154.18 ,$150.95 
2/3/2025,$151.87 ,6687487,$152.00 ,$152.47 ,$150.78 
1/31/2025,$152.15 ,8458715,$152.62 ,$153.18 ,$152.06 
1/30/2025,$152.87 ,8910983,$151.91 ,$154.14 ,$151.36 
1/29/2025,$151.15 ,7156421,$150.50 ,$151.88 ,$150.00 
1/28/2025,$150.38 ,10320610,$152.66 ,$152.97 ,$150.30 
1/27/2025,$152.89 ,15152310,$148.45 ,$153.45 ,$148.00 
1/24/2025,$146.82 ,9887682,$146.81 ,$147.63 ,$146.38 
1/23/2025,$146.64 ,10506360,$145.44 ,$147.91 ,$144.81 
1/22/2025,$145.27 ,16834750,$144.00 ,$145.47 ,$142.11 
1/21/2025,$148.15 ,11111750,$147.56 ,$148.86 ,$147.05 
1/17/2025,$147.03 ,10773050,$147.44 ,$148.38 ,$146.61 
1/16/2025,$147.77 ,8964016,$144.32 ,$148.07 ,$144.06 
1/15/2025,$144.97 ,7434562,$145.31 ,$146.05 ,$144.26 
1/14/2025,$144.75 ,8681741,$144.50 ,$144.81 ,$142.86 
1/13/2025,$144.47 ,10376380,$142.98 ,$145.07 ,$142.31 
1/10/2025,$142.06 ,8821541,$141.00 ,$143.67 ,$140.68 
1/8/2025,$142.27 ,11175550,$145.49 ,$145.59 ,$141.44 
1/7/2025,$146.23 ,8422010,$143.76 ,$147.18 ,$143.59 
1/6/2025,$143.66 ,7910493,$143.51 ,$144.82 ,$142.93 
1/3/2025,$144.19 ,5879816,$144.07 ,$144.58 ,$143.62 
1/2/2025,$144.02 ,6051330,$145.23 ,$145.77 ,$143.78 
12/31/2024,$144.62 ,5811401,$143.76 ,$144.67 ,$143.31 
12/30/2024,$143.34 ,6268692,$144.84 ,$144.88 ,$142.95 
12/27/2024,$145.05 ,5588306,$144.87 ,$146.60 ,$144.68 
12/26/2024,$145.58 ,4656981,$145.51 ,$146.37 ,$145.09 
12/24/2024,$145.85 ,3164071,$145.00 ,$145.85 ,$144.33 
12/23/2024,$145.27 ,8720824,$144.63 ,$145.33 ,$143.45 
12/20/2024,$144.47 ,17702760,$143.05 ,$145.47 ,$142.75 
12/19/2024,$143.58 ,9516653,$144.14 ,$145.22 ,$143.37 
12/18/2024,$144.75 ,9336094,$145.68 ,$146.74 ,$144.67 
12/17/2024,$146.41 ,10342960,$143.84 ,$146.66 ,$143.71 
12/16/2024,$143.85 ,8732378,$146.73 ,$147.25 ,$143.52 
12/13/2024,$146.62 ,8324900,$145.66 ,$146.93 ,$145.04 
12/12/2024,$146.24 ,6176269,$147.20 ,$147.77 ,$146.01 
12/11/2024,$146.64 ,13446660,$148.50 ,$148.50 ,$146.37 
12/10/2024,$149.23 ,9398671,$149.93 ,$150.83 ,$148.33 
12/9/2024,$149.60 ,8410303,$149.29 ,$150.89 ,$148.44 
12/6/2024,$149.31 ,8389611,$149.39 ,$150.05 ,$148.38 
12/5/2024,$149.52 ,7898098,$150.00 ,$150.38 ,$148.95 
12/4/2024,$150.47 ,10333110,$151.29 ,$151.56 ,$149.75 
12/3/2024,$152.36 ,8674415,$154.80 ,$154.80 ,$152.31 
12/2/2024,$154.80 ,6946494,$154.75 ,$155.00 ,$153.93 
11/29/2024,$155.01 ,5687821,$154.89 ,$155.67 ,$154.17 
11/27/2024,$155.40 ,4140444,$154.63 ,$156.63 ,$154.60 
11/26/2024,$154.52 ,5683499,$155.16 ,$155.25 ,$153.16 
11/25/2024,$155.78 ,12256240,$155.17 ,$157.04 ,$155.14 
11/22/2024,$155.17 ,8265961,$155.90 ,$157.12 ,$154.11 
11/21/2024,$155.50 ,10141060,$153.62 ,$156.06 ,$152.81 
11/20/2024,$153.11 ,9061274,$153.03 ,$153.25 ,$151.81 
11/19/2024,$153.00 ,8233678,$153.95 ,$153.99 ,$152.05 
11/18/2024,$154.77 ,7514177,$152.59 ,$155.33 ,$152.33 
11/15/2024,$154.00 ,11328520,$150.90 ,$154.43 ,$150.90 
11/14/2024,$151.87 ,7716385,$153.18 ,$153.59 ,$150.76 
11/13/2024,$153.24 ,7162233,$152.50 ,$153.51 ,$151.42 
11/12/2024,$152.64 ,7181408,$154.53 ,$155.04 ,$152.37 
11/11/2024,$155.04 ,7146759,$155.62 ,$157.58 ,$154.91 
11/8/2024,$155.47 ,8926134,$157.00 ,$157.08 ,$155.41 
11/7/2024,$156.73 ,7522812,$158.47 ,$158.75 ,$156.51 
11/6/2024,$157.88 ,8926601,$159.90 ,$160.85 ,$157.36 
11/5/2024,$158.35 ,6547074,$157.67 ,$158.59 ,$156.35 
11/4/2024,$158.24 ,4644011,$159.70 ,$160.28 ,$158.07 
11/1/2024,$160.13 ,5256652,$160.58 ,$161.06 ,$159.88 
10/31/2024,$159.86 ,8613860,$159.99 ,$160.87 ,$159.46 
10/30/2024,$160.61 ,5820530,$159.45 ,$161.28 ,$159.03 
10/29/2024,$160.09 ,5216879,$161.46 ,$162.17 ,$160.06 
10/28/2024,$161.60 ,4842653,$161.13 ,$161.97 ,$161.00 
10/25/2024,$160.88 ,6400449,$163.68 ,$163.92 ,$160.61 
10/24/2024,$163.67 ,5386525,$165.00 ,$165.51 ,$163.34 
10/23/2024,$165.86 ,7442026,$162.82 ,$166.00 ,$162.42 
10/22/2024,$163.45 ,5680612,$162.32 ,$163.73 ,$161.90 
10/21/2024,$162.83 ,6082736,$165.10 ,$165.25 ,$162.31 
10/18/2024,$165.12 ,5908012,$164.89 ,$165.29 ,$163.93 
10/17/2024,$164.47 ,4798238,$164.26 ,$165.00 ,$163.63 
10/16/2024,$164.28 ,5982291,$164.00 ,$164.99 ,$162.64 
10/15/2024,$164.10 ,10547970,$160.00 ,$166.75 ,$159.00 
10/14/2024,$161.60 ,5963961,$161.40 ,$162.14 ,$160.90 
10/11/2024,$161.46 ,5253459,$162.18 ,$162.66 ,$161.20 
10/10/2024,$160.51 ,4793889,$161.36 ,$161.39 ,$160.00 
10/9/2024,$160.65 ,6047269,$159.92 ,$161.22 ,$159.51 
10/8/2024,$159.69 ,4766250,$159.49 ,$160.25 ,$158.95 
10/7/2024,$159.53 ,4265971,$160.25 ,$160.86 ,$159.22 
10/4/2024,$160.29 ,5331694,$159.63 ,$160.50 ,$158.78 
10/3/2024,$160.50 ,4791223,$160.78 ,$161.44 ,$160.22 
10/2/2024,$161.17 ,4684472,$161.51 ,$162.12 ,$160.65 
10/1/2024,$161.99 ,4408019,$162.43 ,$162.75 ,$161.18 
9/30/2024,$162.06 ,6010407,$161.57 ,$162.18 ,$160.68 
9/27/2024,$161.40 ,7553905,$162.00 ,$163.43 ,$161.34 
9/26/2024,$161.39 ,6122231,$160.24 ,$161.54 ,$160.02 
9/25/2024,$160.60 ,5420011,$163.00 ,$163.32 ,$160.36 
9/24/2024,$162.78 ,6041561,$162.79 ,$163.49 ,$161.55 
9/23/2024,$163.22 ,4671645,$164.40 ,$164.50 ,$162.72 
9/20/2024,$164.16 ,11838970,$164.30 ,$164.87 ,$163.55 
9/19/2024,$164.82 ,4956119,$166.23 ,$166.37 ,$164.42 
9/18/2024,$166.15 ,4722765,$166.63 ,$168.35 ,$165.74 
9/17/2024,$167.07 ,5066586,$166.24 ,$167.72 ,$165.93 
9/16/2024,$166.99 ,5187887,$166.36 ,$167.25 ,$165.78 
9/13/2024,$165.52 ,3693548,$164.74 ,$165.75 ,$163.82 
9/12/2024,$164.64 ,4541046,$164.20 ,$165.10 ,$162.71 
9/11/2024,$164.82 ,5920165,$166.79 ,$166.79 ,$164.09 
9/10/2024,$167.38 ,6559734,$167.50 ,$168.46 ,$166.75 
9/9/2024,$166.61 ,7538233,$164.84 ,$167.41 ,$164.47 
9/6/2024,$164.38 ,6016884,$165.18 ,$165.94 ,$164.12 
9/5/2024,$164.99 ,4600392,$167.20 ,$167.37 ,$164.83 
9/4/2024,$167.36 ,6939132,$167.81 ,$168.85 ,$166.04 
9/3/2024,$167.16 ,6956452,$165.24 ,$167.81 ,$164.77 
8/30/2024,$165.86 ,7971017,$164.12 ,$165.98 ,$163.81 
8/29/2024,$164.23 ,7390125,$164.63 ,$164.72 ,$163.36 
8/28/2024,$163.92 ,5187198,$163.00 ,$165.00 ,$162.71 
8/27/2024,$162.95 ,4388728,$163.50 ,$164.04 ,$162.16 
8/26/2024,$164.61 ,6870622,$164.17 ,$165.71 ,$163.54 
8/23/2024,$164.13 ,7093429,$162.50 ,$164.22 ,$161.70 
8/22/2024,$162.35 ,6552142,$162.00 ,$162.49 ,$160.79 
8/21/2024,$161.43 ,5019375,$160.40 ,$161.48 ,$160.31 
8/20/2024,$160.16 ,7275133,$160.00 ,$160.93 ,$159.67 
8/19/2024,$159.63 ,4408517,$159.46 ,$160.30 ,$159.13 
8/16/2024,$159.39 ,5012774,$159.14 ,$159.94 ,$158.18 
8/15/2024,$159.09 ,7237785,$158.37 ,$159.50 ,$157.84 
8/14/2024,$158.48 ,5141249,$157.83 ,$159.55 ,$157.40 
8/13/2024,$158.39 ,9711395,$160.27 ,$160.37 ,$156.44 
8/12/2024,$159.88 ,7605419,$160.97 ,$161.70 ,$158.71 
8/9/2024,$160.62 ,4579186,$160.12 ,$160.93 ,$159.34 
8/8/2024,$160.22 ,5094830,$158.57 ,$160.70 ,$158.03 
8/7/2024,$158.90 ,5993028,$158.87 ,$160.62 ,$158.19 
8/6/2024,$158.97 ,7607144,$161.05 ,$161.48 ,$158.94 
