date,close_price,volume,open_price,high_price,low_price
02/07/2025,$251.94 ,2163802,$256.82 ,$257.35 ,$251.35 
02/06/2025,$256.95 ,2397540,$260.11 ,$260.61 ,$255.71 
02/05/2025,$258.47 ,1693310,$258.91 ,$259.44 ,$254.87 
02/04/2025,$257.23 ,1976333,$255.95 ,$258.23 ,$255.12 
02/03/2025,$256.50 ,1862407,$256.04 ,$258.68 ,$252.38 
1/31/2025,$260.04 ,1735528,$262.28 ,$264.18 ,$259.61 
1/30/2025,$264.00 ,1630364,$263.65 ,$266.56 ,$262.45 
1/29/2025,$261.73 ,2092380,$265.20 ,$266.60 ,$261.41 
1/28/2025,$264.41 ,1459359,$266.25 ,$266.95 ,$263.61 
1/27/2025,$268.42 ,2179059,$263.13 ,$269.19 ,$263.00 
1/24/2025,$262.20 ,2021679,$260.90 ,$262.98 ,$259.38 
1/23/2025,$261.32 ,2614254,$257.80 ,$261.50 ,$257.80 
1/22/2025,$258.00 ,2074468,$262.55 ,$262.55 ,$257.74 
1/21/2025,$264.35 ,2804420,$263.00 ,$266.84 ,$262.69 
1/17/2025,$261.06 ,2758748,$259.96 ,$262.02 ,$258.39 
1/16/2025,$258.78 ,1882336,$256.80 ,$259.53 ,$255.91 
1/15/2025,$256.72 ,2880607,$257.83 ,$259.75 ,$256.05 
1/14/2025,$251.19 ,2055084,$250.01 ,$252.37 ,$249.28 
1/13/2025,$248.66 ,2689830,$248.08 ,$251.16 ,$246.74 
01/10/2025,$247.90 ,2537988,$247.00 ,$250.00 ,$244.50 
01/08/2025,$246.89 ,2364932,$245.44 ,$247.24 ,$242.96 
01/07/2025,$246.57 ,1803534,$250.13 ,$251.66 ,$246.13 
01/06/2025,$249.74 ,2573514,$248.74 ,$252.70 ,$247.29 
01/03/2025,$248.48 ,1889257,$248.12 ,$248.77 ,$245.92 
01/02/2025,$246.98 ,2740993,$248.27 ,$249.87 ,$245.24 
12/31/2024,$246.80 ,1397897,$247.25 ,$248.20 ,$245.79 
12/30/2024,$246.73 ,1622871,$247.90 ,$247.93 ,$244.53 
12/27/2024,$248.34 ,1581279,$248.35 ,$250.08 ,$247.30 
12/26/2024,$249.43 ,1435255,$248.24 ,$250.14 ,$247.82 
12/24/2024,$250.22 ,992143,$247.98 ,$250.22 ,$247.20 
12/23/2024,$247.37 ,2079337,$246.25 ,$247.92 ,$245.23 
12/20/2024,$247.72 ,5693222,$244.54 ,$249.21 ,$244.00 
12/19/2024,$244.52 ,4159534,$249.00 ,$250.63 ,$244.14 
12/18/2024,$249.81 ,3084382,$257.41 ,$259.64 ,$249.64 
12/17/2024,$257.75 ,2402264,$258.44 ,$259.97 ,$256.32 
12/16/2024,$260.10 ,1964717,$262.77 ,$264.01 ,$259.95 
12/13/2024,$262.39 ,1999384,$263.13 ,$264.75 ,$262.07 
12/12/2024,$263.50 ,2391562,$268.32 ,$268.39 ,$263.05 
12/11/2024,$267.90 ,3297336,$271.36 ,$273.35 ,$267.24 
12/10/2024,$270.11 ,2214706,$272.48 ,$272.93 ,$268.59 
12/09/2024,$274.15 ,2647022,$274.00 ,$280.64 ,$272.71 
12/06/2024,$273.43 ,1746084,$271.89 ,$276.93 ,$271.13 
12/05/2024,$270.07 ,1959856,$271.63 ,$272.83 ,$269.54 
12/04/2024,$272.27 ,2081231,$272.42 ,$274.12 ,$270.26 
12/03/2024,$274.39 ,2459327,$272.92 ,$275.43 ,$269.94 
12/02/2024,$272.05 ,2202719,$273.44 ,$273.80 ,$269.45 
11/29/2024,$272.43 ,1526387,$272.71 ,$274.17 ,$271.93 
11/27/2024,$273.19 ,2263842,$275.15 ,$276.39 ,$272.56 
11/26/2024,$274.47 ,2422271,$274.63 ,$274.78 ,$270.97 
11/25/2024,$275.32 ,3691744,$268.94 ,$275.62 ,$268.49 
11/22/2024,$264.68 ,2411086,$266.11 ,$266.91 ,$262.92 
11/21/2024,$265.22 ,1844990,$264.06 ,$265.69 ,$262.26 
11/20/2024,$263.03 ,2864500,$259.30 ,$263.66 ,$258.95 
11/19/2024,$259.26 ,4214007,$263.09 ,$264.99 ,$258.46 
11/18/2024,$271.77 ,2603906,$268.43 ,$273.62 ,$267.33 
11/15/2024,$269.40 ,2264979,$269.90 ,$271.95 ,$268.46 
11/14/2024,$270.35 ,2324168,$272.66 ,$273.39 ,$269.81 
11/13/2024,$272.32 ,1820019,$272.72 ,$274.30 ,$270.82 
11/12/2024,$269.90 ,2634640,$275.75 ,$276.77 ,$269.44 
11/11/2024,$274.51 ,2252308,$273.54 ,$276.30 ,$272.29 
11/08/2024,$271.10 ,2102467,$268.98 ,$271.90 ,$267.91 
11/07/2024,$266.30 ,1972519,$262.79 ,$267.14 ,$262.50 
11/06/2024,$261.73 ,4439548,$266.15 ,$266.15 ,$257.25 
11/05/2024,$269.18 ,1562891,$264.06 ,$269.27 ,$264.06 
11/04/2024,$264.98 ,1741746,$262.41 ,$267.57 ,$262.38 
11/01/2024,$261.94 ,2262390,$265.55 ,$266.77 ,$261.57 
10/31/2024,$261.83 ,2950658,$261.40 ,$263.54 ,$260.96 
10/30/2024,$261.39 ,2356532,$262.53 ,$265.44 ,$260.21 
10/29/2024,$262.97 ,2311324,$263.20 ,$265.07 ,$260.52 
10/28/2024,$267.97 ,2140445,$270.20 ,$271.19 ,$267.60 
10/25/2024,$267.64 ,1788117,$270.47 ,$271.18 ,$266.26 
10/24/2024,$271.36 ,2025982,$270.70 ,$272.38 ,$269.79 
10/23/2024,$270.11 ,2109433,$270.66 ,$272.61 ,$269.24 
10/22/2024,$272.22 ,3102498,$272.02 ,$273.42 ,$268.17 
10/21/2024,$276.84 ,2438280,$280.58 ,$282.70 ,$275.67 
