Date,Close/Last,Volume,Open,High,Low
2/7/2025,$294.30 ,2858016,$294.36 ,$296.85 ,$293.82 
2/6/2025,$294.36 ,3589988,$291.59 ,$297.15 ,$290.32 
2/5/2025,$288.83 ,2363168,$290.00 ,$290.27 ,$286.34 
2/4/2025,$289.77 ,2977102,$289.76 ,$290.64 ,$288.37 
2/3/2025,$290.05 ,3049143,$287.02 ,$290.90 ,$284.19 
1/31/2025,$288.70 ,2557033,$289.83 ,$291.25 ,$287.35 
1/30/2025,$290.32 ,2125150,$290.91 ,$292.08 ,$289.36 
1/29/2025,$290.11 ,2358272,$291.38 ,$293.14 ,$290.00 
1/28/2025,$291.15 ,3180370,$292.40 ,$294.49 ,$290.00 
1/27/2025,$293.09 ,4343019,$286.61 ,$293.43 ,$285.81 
1/24/2025,$285.46 ,2523397,$284.51 ,$286.85 ,$283.28 
1/23/2025,$284.43 ,2279408,$280.75 ,$285.00 ,$280.65 
1/22/2025,$281.35 ,3660600,$283.30 ,$283.53 ,$280.41 
1/21/2025,$282.61 ,3858590,$280.76 ,$282.90 ,$278.73 
1/17/2025,$280.95 ,3312793,$280.98 ,$284.08 ,$280.00 
1/16/2025,$279.74 ,3403681,$280.24 ,$280.95 ,$276.53 
1/15/2025,$282.30 ,2867781,$284.33 ,$284.65 ,$280.61 
1/14/2025,$281.58 ,2238889,$285.02 ,$285.35 ,$279.38 
1/13/2025,$283.63 ,3394291,$282.94 ,$284.50 ,$280.35 
1/10/2025,$282.31 ,3946002,$287.50 ,$287.77 ,$281.78 
1/8/2025,$286.90 ,2724217,$288.97 ,$289.14 ,$286.55 
1/7/2025,$289.34 ,3419450,$293.78 ,$294.93 ,$288.28 
1/6/2025,$292.18 ,2838933,$293.28 ,$295.60 ,$291.74 
1/3/2025,$294.78 ,2240254,$292.83 ,$294.96 ,$290.70 
1/2/2025,$292.51 ,3118262,$290.95 ,$295.76 ,$290.25 
12/31/2024,$289.89 ,1915847,$290.08 ,$291.24 ,$288.58 
12/30/2024,$289.60 ,1936678,$291.47 ,$291.47 ,$289.00 
12/27/2024,$293.62 ,1617399,$293.34 ,$296.48 ,$292.74 
12/26/2024,$294.80 ,1434337,$293.00 ,$295.44 ,$292.60 
12/24/2024,$293.99 ,1460985,$291.28 ,$294.27 ,$290.79 
12/23/2024,$291.29 ,2492226,$292.26 ,$293.10 ,$289.73 
12/20/2024,$292.68 ,7677952,$289.52 ,$296.10 ,$289.30 
12/19/2024,$290.23 ,3438533,$290.88 ,$292.86 ,$288.85 
12/18/2024,$290.88 ,3800945,$295.02 ,$298.98 ,$290.67 
12/17/2024,$296.08 ,3295881,$297.62 ,$300.00 ,$294.82 
12/16/2024,$297.71 ,3180071,$297.18 ,$302.12 ,$297.17 
12/13/2024,$296.60 ,2547703,$296.29 ,$299.20 ,$295.43 
12/12/2024,$296.63 ,2040653,$296.20 ,$298.55 ,$295.09 
12/11/2024,$296.10 ,3037616,$301.34 ,$301.90 ,$295.97 
12/10/2024,$300.71 ,3522974,$300.13 ,$302.82 ,$295.84 
12/9/2024,$301.37 ,2391898,$297.59 ,$302.62 ,$297.09 
12/6/2024,$298.98 ,4158690,$300.56 ,$303.80 ,$298.61 
12/5/2024,$299.47 ,2594816,$295.54 ,$299.74 ,$294.93 
12/4/2024,$295.09 ,3742938,$292.28 ,$296.04 ,$291.82 
12/3/2024,$294.50 ,3030992,$292.32 ,$294.85 ,$290.29 
12/2/2024,$292.44 ,3150151,$293.50 ,$294.23 ,$290.94 
11/29/2024,$296.01 ,1655907,$294.16 ,$297.05 ,$294.02 
11/27/2024,$295.08 ,2240280,$297.00 ,$299.50 ,$294.98 
11/26/2024,$296.33 ,2254326,$297.00 ,$297.28 ,$294.83 
11/25/2024,$296.19 ,5021843,$291.77 ,$296.61 ,$291.77 
11/22/2024,$290.28 ,2879063,$288.47 ,$290.60 ,$288.14 
11/21/2024,$288.47 ,4475662,$285.00 ,$288.60 ,$283.46 
11/20/2024,$290.91 ,2525012,$290.62 ,$291.32 ,$288.26 
11/19/2024,$290.73 ,2353251,$290.00 ,$292.07 ,$287.60 
11/18/2024,$291.10 ,2866132,$293.01 ,$295.44 ,$290.79 
11/15/2024,$292.63 ,4039432,$297.72 ,$299.50 ,$289.72 
11/14/2024,$298.56 ,1932557,$298.00 ,$300.11 ,$296.59 
11/13/2024,$297.35 ,2327101,$298.90 ,$299.13 ,$295.22 
11/12/2024,$298.65 ,2453194,$300.14 ,$301.41 ,$297.52 
11/11/2024,$301.53 ,2872440,$300.49 ,$303.81 ,$300.02 
11/8/2024,$298.97 ,3279284,$295.60 ,$301.83 ,$295.25 
11/7/2024,$294.66 ,3357377,$294.84 ,$296.54 ,$293.81 
11/6/2024,$294.00 ,4646422,$300.28 ,$300.33 ,$292.72 
11/5/2024,$297.32 ,3032122,$293.75 ,$297.38 ,$292.56 
11/4/2024,$292.85 ,2583053,$294.74 ,$294.96 ,$291.80 
11/1/2024,$295.21 ,4131804,$294.51 ,$296.88 ,$293.28 
10/31/2024,$292.11 ,4277428,$292.25 ,$294.38 ,$291.17 
10/30/2024,$291.52 ,4924013,$294.50 ,$295.37 ,$289.84 
10/29/2024,$295.00 ,9048877,$297.60 ,$302.70 ,$295.00 
10/28/2024,$296.79 ,6655971,$299.20 ,$299.92 ,$296.54 
10/25/2024,$292.61 ,8863234,$301.00 ,$301.60 ,$292.20 
10/24/2024,$301.58 ,5522591,$299.12 ,$302.39 ,$298.28 
10/23/2024,$298.57 ,18791950,$292.77 ,$301.60 ,$290.83 
10/22/2024,$314.69 ,5889115,$314.09 ,$315.74 ,$313.30 
10/21/2024,$314.89 ,2404056,$317.13 ,$317.90 ,$314.41 
10/18/2024,$316.56 ,2531197,$315.57 ,$317.18 ,$314.23 
10/17/2024,$314.70 ,3095192,$313.98 ,$315.05 ,$312.48 
10/16/2024,$312.92 ,1821486,$313.32 ,$313.73 ,$310.11 
10/15/2024,$313.34 ,3067090,$312.00 ,$315.36 ,$311.01 
10/14/2024,$309.84 ,2376310,$305.15 ,$310.42 ,$304.50 
10/11/2024,$305.04 ,1775710,$304.42 ,$305.50 ,$302.97 
