Date,Close/Last,Volume,Open,High,Low
2/7/2025,$90.01 ,6349592,$91.12 ,$91.17 ,$89.55 
2/6/2025,$90.82 ,4509493,$91.26 ,$91.94 ,$90.76 
2/5/2025,$91.69 ,5181172,$91.27 ,$92.07 ,$90.68 
2/4/2025,$90.97 ,5196286,$89.86 ,$91.11 ,$89.70 
2/3/2025,$90.53 ,5800340,$90.27 ,$91.21 ,$89.25 
1/31/2025,$90.82 ,7216805,$91.72 ,$92.10 ,$90.65 
1/30/2025,$91.99 ,5101862,$91.72 ,$92.82 ,$91.46 
1/29/2025,$91.41 ,5514659,$92.53 ,$92.98 ,$91.36 
1/28/2025,$91.98 ,7961373,$92.46 ,$93.08 ,$91.67 
1/27/2025,$92.46 ,9164274,$90.66 ,$92.48 ,$90.35 
1/24/2025,$90.19 ,7349517,$89.11 ,$90.30 ,$88.82 
1/23/2025,$89.25 ,5694287,$87.87 ,$89.33 ,$87.80 
1/22/2025,$87.84 ,5222894,$88.24 ,$88.46 ,$87.42 
1/21/2025,$88.38 ,8376553,$88.45 ,$88.70 ,$87.77 
1/17/2025,$88.08 ,9578891,$87.25 ,$88.63 ,$87.05 
1/16/2025,$87.16 ,7267463,$85.43 ,$87.22 ,$85.03 
1/15/2025,$85.40 ,12261140,$83.92 ,$85.89 ,$83.92 
1/14/2025,$85.25 ,13399700,$83.39 ,$85.31 ,$83.11 
1/13/2025,$81.79 ,6487705,$80.91 ,$82.12 ,$80.01 
1/10/2025,$80.66 ,7068239,$82.00 ,$82.49 ,$80.51 
1/8/2025,$82.68 ,11154160,$80.41 ,$83.22 ,$80.35 
1/7/2025,$79.87 ,7363342,$80.37 ,$81.07 ,$79.74 
1/6/2025,$79.84 ,7886375,$80.52 ,$81.14 ,$79.66 
1/3/2025,$80.95 ,5394979,$80.50 ,$81.00 ,$79.98 
1/2/2025,$80.22 ,5575206,$80.37 ,$80.67 ,$79.86 
12/31/2024,$79.88 ,4803813,$79.82 ,$80.23 ,$79.38 
12/30/2024,$79.61 ,5136445,$80.20 ,$80.37 ,$79.29 
12/27/2024,$80.74 ,3880783,$80.54 ,$81.27 ,$80.45 
12/26/2024,$81.60 ,3320029,$81.31 ,$81.77 ,$81.22 
12/24/2024,$81.54 ,2465929,$81.30 ,$81.78 ,$81.09 
12/23/2024,$81.40 ,7421726,$80.69 ,$81.60 ,$80.42 
12/20/2024,$81.03 ,10707300,$79.87 ,$81.27 ,$79.80 
12/19/2024,$79.99 ,7191234,$79.79 ,$80.59 ,$79.52 
12/18/2024,$80.03 ,7048610,$81.37 ,$81.66 ,$80.00 
12/17/2024,$81.37 ,8021428,$80.96 ,$82.29 ,$80.69 
12/16/2024,$81.35 ,6351880,$82.00 ,$82.51 ,$81.12 
12/13/2024,$82.48 ,4301567,$82.84 ,$82.94 ,$81.88 
12/12/2024,$82.73 ,5482817,$82.91 ,$83.25 ,$82.53 
12/11/2024,$82.92 ,6125595,$83.40 ,$83.97 ,$82.89 
