Date,Close/Last,Volume,Open,High,Low
2/7/2025,$714.52 ,16427070,$716.80 ,$725.01 ,$711.75 
2/6/2025,$711.99 ,13080690,$705.88 ,$718.90 ,$703.50 
2/5/2025,$704.87 ,17793770,$703.55 ,$718.14 ,$699.01 
2/4/2025,$704.19 ,13826270,$702.50 ,$707.71 ,$691.61 
2/3/2025,$697.46 ,21415740,$675.91 ,$704.00 ,$675.25 
1/31/2025,$689.18 ,19331660,$691.00 ,$705.30 ,$685.58 
1/30/2025,$687.00 ,29322900,$696.82 ,$710.79 ,$676.10 
1/29/2025,$676.49 ,21377820,$675.00 ,$681.05 ,$665.67 
1/28/2025,$674.33 ,20950110,$666.00 ,$682.58 ,$659.47 
1/27/2025,$659.88 ,28399190,$626.61 ,$663.87 ,$625.10 
1/24/2025,$647.49 ,19065330,$636.40 ,$652.00 ,$634.20 
1/23/2025,$636.45 ,9910163,$627.36 ,$636.60 ,$621.15 
1/22/2025,$623.50 ,12274010,$623.30 ,$633.70 ,$619.44 
1/21/2025,$616.46 ,11674020,$617.83 ,$621.50 ,$609.01 
1/17/2025,$612.77 ,17280600,$624.05 ,$624.97 ,$603.67 
1/16/2025,$611.30 ,8355349,$611.50 ,$616.25 ,$609.71 
1/15/2025,$617.12 ,15524300,$610.21 ,$622.46 ,$606.50 
1/14/2025,$594.25 ,13597990,$605.07 ,$605.49 ,$588.55 
1/13/2025,$608.33 ,10785030,$607.10 ,$608.97 ,$598.45 
1/10/2025,$615.86 ,19256560,$610.03 ,$629.91 ,$597.34 
1/8/2025,$610.72 ,10085850,$613.40 ,$616.44 ,$602.79 
1/7/2025,$617.89 ,12071480,$631.70 ,$632.10 ,$608.23 
1/6/2025,$630.20 ,14560750,$611.83 ,$630.99 ,$605.62 
1/3/2025,$604.63 ,11436780,$604.76 ,$609.50 ,$596.41 
1/2/2025,$599.24 ,12682270,$589.72 ,$604.91 ,$587.82 
12/31/2024,$585.51 ,6019520,$592.27 ,$593.97 ,$583.85 
12/30/2024,$591.24 ,7025864,$588.75 ,$596.94 ,$585.58 
12/27/2024,$599.81 ,8084229,$599.41 ,$601.85 ,$589.80 
12/26/2024,$603.35 ,6091239,$605.48 ,$606.30 ,$598.94 
12/24/2024,$607.75 ,4726056,$602.72 ,$607.99 ,$599.28 
12/23/2024,$599.85 ,10205750,$589.60 ,$601.09 ,$586.25 
12/20/2024,$585.25 ,48989390,$590.58 ,$603.11 ,$580.00 
12/19/2024,$595.57 ,14958080,$610.39 ,$611.52 ,$595.00 
12/18/2024,$597.19 ,17075480,$621.00 ,$627.36 ,$596.32 
12/17/2024,$619.44 ,12897840,$626.17 ,$632.37 ,$616.54 
12/16/2024,$624.24 ,10885630,$629.98 ,$631.15 ,$618.58 
12/13/2024,$620.35 ,8453349,$627.22 ,$631.08 ,$616.89 
12/12/2024,$630.79 ,7474717,$631.50 ,$636.66 ,$627.21 
12/11/2024,$632.68 ,10837230,$623.37 ,$638.40 ,$621.53 
12/10/2024,$619.32 ,10938850,$617.56 ,$625.59 ,$612.74 
12/9/2024,$613.57 ,11426020,$623.93 ,$626.40 ,$606.17 
12/6/2024,$623.77 ,16935500,$610.10 ,$629.79 ,$608.53 
12/5/2024,$608.93 ,8081212,$617.08 ,$619.90 ,$607.05 
12/4/2024,$613.78 ,14697010,$612.96 ,$617.78 ,$605.10 
12/3/2024,$613.65 ,14907160,$595.00 ,$614.20 ,$591.25 
12/2/2024,$592.83 ,12522370,$577.50 ,$594.50 ,$575.57 
11/29/2024,$574.32 ,7130519,$569.00 ,$578.46 ,$566.90 
