date,close_price,volume,open_price,high_price,low_price
2/28/2025,$90.65 ,5962470,$89.86 ,$90.72 ,$89.38 
2/27/2025,$89.22 ,6953839,$88.95 ,$90.19 ,$88.91 
2/26/2025,$89.55 ,7387830,$91.03 ,$91.12 ,$89.28 
2/25/2025,$90.95 ,11465920,$92.28 ,$93.80 ,$89.00 
2/24/2025,$90.59 ,10476270,$88.86 ,$91.12 ,$88.12 
2/21/2025,$88.08 ,15128830,$88.39 ,$89.23 ,$85.74 
2/20/2025,$83.74 ,5015229,$82.93 ,$84.00 ,$82.71 
2/19/2025,$83.40 ,5948149,$82.94 ,$83.63 ,$82.56 
2/18/2025,$82.33 ,8712148,$82.10 ,$82.68 ,$81.06 
2/14/2025,$77.87 ,9875485,$78.58 ,$79.07 ,$77.82 
2/13/2025,$78.83 ,10809250,$79.54 ,$80.14 ,$78.70 
2/12/2025,$81.79 ,6427373,$81.02 ,$82.36 ,$80.53 
2/11/2025,$83.74 ,5046817,$83.51 ,$84.25 ,$82.87 
2/10/2025,$83.91 ,9555036,$85.70 ,$85.92 ,$83.65 
2/7/2025,$86.42 ,8700839,$88.69 ,$88.77 ,$86.14 
2/6/2025,$87.17 ,10576000,$86.72 ,$88.95 ,$86.67 
2/5/2025,$85.73 ,14099040,$86.43 ,$87.42 ,$85.09 
2/4/2025,$82.62 ,9880721,$81.62 ,$83.44 ,$81.27 
2/3/2025,$82.65 ,5460116,$82.13 ,$83.38 ,$82.07 
1/31/2025,$84.45 ,6546154,$84.87 ,$85.44 ,$84.29 
1/30/2025,$85.34 ,5798825,$84.60 ,$86.47 ,$83.94 
1/29/2025,$84.03 ,6843913,$85.62 ,$85.67 ,$83.90 
1/28/2025,$85.19 ,9534269,$86.07 ,$86.86 ,$84.60 
1/27/2025,$87.51 ,10864940,$85.74 ,$88.46 ,$85.34 
1/24/2025,$87.97 ,27095410,$89.97 ,$89.97 ,$86.57 
1/23/2025,$81.10 ,6765777,$81.33 ,$81.72 ,$80.33 
1/22/2025,$80.57 ,5910356,$81.73 ,$81.80 ,$80.43 
1/21/2025,$81.03 ,8094304,$79.68 ,$81.11 ,$79.32 
1/17/2025,$78.69 ,21265290,$79.94 ,$80.88 ,$78.17 
1/16/2025,$83.07 ,6322359,$82.74 ,$83.99 ,$82.19 
1/15/2025,$82.92 ,9021498,$83.36 ,$83.82 ,$82.71 
1/14/2025,$81.18 ,13694900,$82.92 ,$83.68 ,$80.05 
1/13/2025,$84.62 ,7412352,$84.42 ,$84.72 ,$83.69 
1/10/2025,$86.26 ,6774724,$87.22 ,$87.28 ,$85.84 
1/8/2025,$85.64 ,9196402,$85.51 ,$85.80 ,$84.68 
1/7/2025,$83.34 ,9567948,$84.10 ,$84.81 ,$82.64 
1/6/2025,$85.03 ,10695660,$86.11 ,$86.34 ,$84.80 
1/3/2025,$87.65 ,3768991,$87.49 ,$88.19 ,$87.34 
1/2/2025,$87.52 ,4571212,$87.91 ,$88.51 ,$87.19 
12/31/2024,$86.02 ,4202390,$85.42 ,$86.05 ,$85.00 
12/30/2024,$85.73 ,6109989,$86.97 ,$87.01 ,$85.66 
12/27/2024,$87.37 ,6066026,$87.73 ,$88.77 ,$87.02 
12/26/2024,$87.65 ,6292075,$87.17 ,$88.06 ,$86.87 
12/24/2024,$87.37 ,4774877,$88.90 ,$88.98 ,$87.07 
12/23/2024,$88.71 ,18997930,$88.87 ,$89.10 ,$85.99 
12/20/2024,$85.00 ,53762450,$82.72 ,$86.53 ,$81.50 
12/19/2024,$103.44 ,5344382,$104.27 ,$104.75 ,$102.74 
12/18/2024,$105.96 ,3760940,$108.39 ,$109.04 ,$105.48 
12/17/2024,$108.01 ,5415450,$107.75 ,$108.99 ,$107.73 
12/16/2024,$108.05 ,5346878,$109.29 ,$109.88 ,$107.87 
12/13/2024,$106.95 ,6250388,$107.04 ,$107.61 ,$104.14 
12/12/2024,$108.61 ,3650826,$110.88 ,$111.17 ,$108.41 
12/11/2024,$111.69 ,6545662,$110.45 ,$112.52 ,$110.02 
12/10/2024,$109.19 ,4621729,$111.55 ,$111.55 ,$108.70 
12/9/2024,$111.08 ,4908910,$111.72 ,$111.99 ,$110.30 
12/6/2024,$110.77 ,6045653,$109.93 ,$111.31 ,$109.75 
12/5/2024,$108.82 ,3914363,$108.62 ,$109.32 ,$108.23 
12/4/2024,$108.97 ,4485590,$110.22 ,$110.52 ,$108.96 
12/3/2024,$109.20 ,4828723,$110.78 ,$110.88 ,$109.05 
12/2/2024,$108.67 ,4948303,$108.93 ,$109.14 ,$108.15 
11/29/2024,$106.80 ,2775149,$105.43 ,$107.40 ,$105.35 
11/27/2024,$106.13 ,3990584,$105.79 ,$106.13 ,$104.96 
