date,close_price,volume,open_price,high_price,low_price
2/28/2025,$173.84 ,10240070,$173.58 ,$174.65 ,$171.85 
2/27/2025,$171.97 ,5466965,$170.85 ,$173.09 ,$170.63 
2/26/2025,$171.30 ,5519041,$172.28 ,$172.65 ,$170.65 
2/25/2025,$172.65 ,7314856,$171.28 ,$173.95 ,$170.80 
2/24/2025,$170.54 ,8564057,$170.22 ,$172.98 ,$169.79 
2/21/2025,$170.23 ,9813720,$167.44 ,$170.55 ,$165.92 
2/20/2025,$167.21 ,6162601,$163.15 ,$167.78 ,$162.80 
2/19/2025,$166.49 ,7910823,$166.10 ,$166.87 ,$165.24 
2/18/2025,$165.43 ,7075681,$163.35 ,$165.76 ,$162.20 
2/14/2025,$162.89 ,13179480,$169.79 ,$170.00 ,$162.30 
2/13/2025,$171.02 ,6328365,$169.63 ,$171.38 ,$169.14 
2/12/2025,$169.58 ,6037671,$168.35 ,$170.08 ,$167.97 
2/11/2025,$169.43 ,5438081,$167.69 ,$169.57 ,$166.50 
2/10/2025,$167.53 ,7063167,$167.69 ,$168.48 ,$166.40 
2/7/2025,$167.97 ,4535617,$169.09 ,$169.12 ,$167.87 
2/6/2025,$168.88 ,4957889,$169.37 ,$169.93 ,$168.03 
2/5/2025,$169.01 ,7537232,$168.09 ,$169.14 ,$166.61 
2/4/2025,$168.13 ,6410938,$169.29 ,$169.29 ,$166.28 
2/3/2025,$168.76 ,8668729,$165.47 ,$169.38 ,$165.23 
1/31/2025,$165.99 ,5464903,$166.00 ,$166.62 ,$165.21 
1/30/2025,$167.41 ,4136546,$167.48 ,$167.60 ,$165.93 
1/29/2025,$166.23 ,4850295,$166.72 ,$167.29 ,$165.88 
1/28/2025,$166.19 ,6716387,$168.91 ,$169.59 ,$166.11 
1/27/2025,$169.66 ,9170829,$166.72 ,$169.94 ,$166.11 
1/24/2025,$164.12 ,6199939,$165.91 ,$165.91 ,$163.20 
1/23/2025,$166.15 ,7614308,$163.88 ,$166.48 ,$163.32 
1/22/2025,$164.74 ,14356690,$167.10 ,$168.14 ,$164.44 
1/21/2025,$161.72 ,13914690,$160.96 ,$162.35 ,$160.96 
1/17/2025,$161.13 ,7262739,$159.74 ,$161.75 ,$159.60 
1/16/2025,$160.50 ,5774429,$159.62 ,$160.58 ,$159.14 
1/15/2025,$159.65 ,8059231,$160.59 ,$161.15 ,$159.34 
1/14/2025,$159.74 ,5982254,$158.85 ,$160.07 ,$158.31 
1/13/2025,$158.84 ,6772198,$159.35 ,$160.09 ,$158.41 
1/10/2025,$158.56 ,8501525,$160.15 ,$161.21 ,$157.47 
1/8/2025,$162.10 ,4974783,$160.99 ,$162.40 ,$160.57 
1/7/2025,$161.30 ,8447744,$161.46 ,$162.61 ,$160.74 
1/6/2025,$160.60 ,8731671,$162.81 ,$163.50 ,$160.44 
1/3/2025,$165.13 ,5256807,$166.25 ,$166.50 ,$164.25 
1/2/2025,$165.98 ,5401712,$168.09 ,$168.71 ,$165.91 
12/31/2024,$167.65 ,3957920,$167.36 ,$168.08 ,$166.59 
12/30/2024,$167.09 ,4354543,$168.67 ,$168.98 ,$166.71 
12/27/2024,$169.53 ,4367879,$169.42 ,$170.76 ,$169.26 
12/26/2024,$170.16 ,3629533,$168.31 ,$170.30 ,$168.07 
12/24/2024,$168.94 ,2460756,$167.62 ,$169.18 ,$167.42 
12/23/2024,$168.11 ,6984079,$168.06 ,$168.68 ,$166.36 
12/20/2024,$168.06 ,21999340,$168.87 ,$169.87 ,$167.50 
12/19/2024,$169.19 ,8585220,$169.01 ,$170.10 ,$167.35 
12/18/2024,$169.08 ,7517081,$169.76 ,$170.56 ,$169.02 
12/17/2024,$170.33 ,6069344,$170.67 ,$171.95 ,$170.02 
12/16/2024,$171.14 ,5943680,$171.45 ,$172.78 ,$171.10 
12/13/2024,$171.06 ,3884513,$170.77 ,$171.79 ,$170.12 
12/12/2024,$170.85 ,4072810,$171.43 ,$171.82 ,$170.02 
12/11/2024,$170.63 ,5237533,$173.01 ,$173.39 ,$170.40 
12/10/2024,$172.28 ,6220088,$170.42 ,$172.93 ,$169.93 
12/9/2024,$170.79 ,7164286,$173.64 ,$173.76 ,$170.43 
12/6/2024,$173.82 ,5741167,$175.37 ,$176.74 ,$173.75 
12/5/2024,$176.03 ,5022189,$174.86 ,$176.46 ,$174.45 
12/4/2024,$175.11 ,6823659,$174.17 ,$175.15 ,$173.46 
12/3/2024,$175.42 ,8127329,$178.77 ,$179.62 ,$175.20 
12/2/2024,$179.70 ,5728297,$179.12 ,$180.16 ,$178.01 
11/29/2024,$179.26 ,3823708,$178.70 ,$179.63 ,$178.28 
11/27/2024,$179.36 ,5522912,$180.00 ,$180.43 ,$178.73 
11/26/2024,$179.31 ,6276933,$177.20 ,$179.46 ,$177.20 
11/25/2024,$177.39 ,19357010,$177.48 ,$178.82 ,$176.90 
11/22/2024,$176.28 ,10609790,$174.15 ,$177.40 ,$173.88 
11/21/2024,$172.75 ,6240403,$171.66 ,$173.51 ,$170.22 
11/20/2024,$170.89 ,7081237,$170.01 ,$171.07 ,$169.51 
11/19/2024,$170.76 ,5683673,$170.69 ,$171.17 ,$169.66 
11/18/2024,$170.75 ,6681087,$169.11 ,$171.45 ,$168.83 
11/15/2024,$169.54 ,9939416,$167.94 ,$170.57 ,$166.88 
11/14/2024,$167.08 ,7444273,$166.71 ,$168.04 ,$166.51 
11/13/2024,$166.58 ,5412566,$166.06 ,$166.80 ,$165.68 
11/12/2024,$165.84 ,6507823,$166.14 ,$167.06 ,$165.57 
11/11/2024,$166.03 ,6364403,$167.00 ,$168.52 ,$165.78 
