Date,Close/Last,Volume,Open,High,Low
2/7/2025,$571.47 ,1826948,$574.78 ,$577.48 ,$566.45 
2/6/2025,$572.71 ,2034089,$581.94 ,$584.07 ,$568.37 
2/5/2025,$582.38 ,1348853,$589.62 ,$590.09 ,$577.90 
2/4/2025,$580.57 ,2097371,$585.59 ,$591.86 ,$576.85 
2/3/2025,$593.75 ,2135677,$593.13 ,$600.41 ,$589.36 
1/31/2025,$597.75 ,2165825,$599.87 ,$605.05 ,$597.00 
1/30/2025,$606.74 ,3349850,$590.60 ,$610.97 ,$590.00 
1/29/2025,$568.23 ,2884711,$574.95 ,$577.03 ,$566.70 
1/28/2025,$584.29 ,2156803,$595.90 ,$597.00 ,$579.01 
1/27/2025,$583.64 ,1727906,$579.66 ,$584.09 ,$573.13 
1/24/2025,$574.82 ,1156526,$573.39 ,$577.57 ,$571.80 
1/23/2025,$574.85 ,1246262,$575.95 ,$576.66 ,$562.65 
1/22/2025,$574.59 ,1702544,$570.68 ,$579.57 ,$570.00 
1/21/2025,$573.06 ,2311529,$564.10 ,$576.37 ,$562.56 
1/17/2025,$559.65 ,2140069,$562.46 ,$565.00 ,$559.11 
1/16/2025,$561.71 ,1835537,$551.12 ,$561.81 ,$546.42 
1/15/2025,$551.47 ,3251325,$557.88 ,$563.81 ,$544.06 
1/14/2025,$556.99 ,2207392,$557.50 ,$561.40 ,$551.38 
1/13/2025,$555.52 ,2269943,$544.18 ,$562.32 ,$541.67 
1/10/2025,$542.31 ,2920058,$541.76 ,$557.16 ,$541.31 
1/8/2025,$544.93 ,1837771,$544.38 ,$547.78 ,$538.25 
1/7/2025,$545.65 ,1839339,$539.52 ,$551.39 ,$538.28 
1/6/2025,$537.19 ,1981838,$529.89 ,$545.32 ,$528.51 
1/3/2025,$532.02 ,1515347,$524.32 ,$536.79 ,$522.74 
1/2/2025,$522.57 ,1817498,$519.17 ,$526.10 ,$518.09 
12/31/2024,$520.23 ,1262858,$520.32 ,$524.74 ,$517.16 
12/30/2024,$518.84 ,1035557,$522.69 ,$522.93 ,$515.77 
12/27/2024,$526.07 ,943215,$524.00 ,$528.28 ,$523.00 
