date,close_price,volume,open_price,high_price,low_price
2/28/2025,$180.53 ,27929430,$179.31 ,$182.16 ,$175.52 
2/27/2025,$181.09 ,24219210,$194.69 ,$194.77 ,$181.08 
2/26/2025,$194.62 ,14112250,$191.09 ,$196.08 ,$191.09 
2/25/2025,$189.37 ,20580950,$190.65 ,$193.53 ,$187.47 
2/24/2025,$191.65 ,15114280,$196.88 ,$198.79 ,$191.46 
2/21/2025,$198.24 ,13757340,$201.33 ,$202.69 ,$196.01 
2/20/2025,$200.10 ,10639330,$200.28 ,$200.34 ,$197.61 
2/19/2025,$200.95 ,13163070,$202.01 ,$202.60 ,$200.02 
2/18/2025,$202.74 ,14988140,$204.76 ,$205.85 ,$200.52 
2/14/2025,$203.90 ,23220330,$199.98 ,$206.25 ,$197.46 
2/13/2025,$201.83 ,15580930,$201.88 ,$202.30 ,$199.23 
2/12/2025,$206.38 ,7373675,$204.90 ,$207.07 ,$203.01 
2/11/2025,$208.74 ,9224508,$205.13 ,$209.84 ,$201.00 
2/10/2025,$207.95 ,9296479,$208.00 ,$209.98 ,$206.53 
2/7/2025,$206.12 ,11616200,$213.01 ,$213.18 ,$205.72 
2/6/2025,$210.50 ,8491436,$210.06 ,$211.18 ,$207.00 
2/5/2025,$208.57 ,10997770,$206.00 ,$210.48 ,$203.83 
2/4/2025,$204.05 ,12692910,$204.07 ,$205.75 ,$202.08 
2/3/2025,$199.80 ,17719770,$199.63 ,$204.99 ,$197.98 
1/31/2025,$209.32 ,15781910,$209.93 ,$215.00 ,$208.20 
1/30/2025,$208.15 ,13538950,$206.57 ,$209.62 ,$205.42 
1/29/2025,$202.33 ,15199490,$204.49 ,$206.45 ,$199.75 
1/28/2025,$202.40 ,31738840,$195.65 ,$202.84 ,$192.46 
1/27/2025,$192.31 ,68667470,$197.04 ,$207.00 ,$187.67 
1/24/2025,$221.88 ,13183800,$226.22 ,$226.40 ,$220.96 
1/23/2025,$224.62 ,8986795,$220.10 ,$224.70 ,$219.41 
1/22/2025,$223.20 ,17294470,$221.95 ,$225.43 ,$219.31 
1/21/2025,$218.70 ,19061300,$214.46 ,$220.15 ,$212.05 
1/17/2025,$211.50 ,21606100,$215.17 ,$215.68 ,$211.06 
1/16/2025,$214.79 ,38539550,$218.89 ,$221.95 ,$213.17 
1/15/2025,$206.80 ,18286490,$202.49 ,$209.04 ,$199.35 
1/14/2025,$201.45 ,14182940,$205.19 ,$206.26 ,$198.50 
1/13/2025,$201.36 ,16612390,$200.52 ,$203.59 ,$200.05 
1/10/2025,$208.37 ,17265200,$207.60 ,$209.98 ,$203.23 
1/8/2025,$207.12 ,13262730,$209.97 ,$210.30 ,$205.92 
1/7/2025,$211.42 ,17010000,$221.24 ,$221.48 ,$211.32 
1/6/2025,$220.01 ,24339950,$218.77 ,$222.20 ,$215.69 
1/3/2025,$208.61 ,10261950,$204.10 ,$208.80 ,$203.70 
1/2/2025,$201.58 ,10951430,$197.00 ,$203.77 ,$196.69 
12/31/2024,$197.49 ,6427867,$200.79 ,$201.78 ,$197.36 
12/30/2024,$200.39 ,11235210,$199.84 ,$201.97 ,$198.48 
