date,close_price,volume,open_price,high_price,low_price
2/28/2025,$474.96 ,6146326,$467.00 ,$476.36 ,$464.48 
2/27/2025,$468.56 ,4216771,$466.17 ,$475.40 ,$465.02 
2/26/2025,$463.59 ,5108381,$464.65 ,$473.05 ,$458.20 
2/25/2025,$470.38 ,9100970,$460.77 ,$470.76 ,$450.07 
2/24/2025,$461.52 ,6919337,$466.68 ,$468.00 ,$457.00 
2/21/2025,$466.42 ,19864870,$439.55 ,$469.70 ,$438.50 
2/20/2025,$502.42 ,4144301,$505.19 ,$508.43 ,$500.24 
2/19/2025,$511.04 ,4380314,$501.33 ,$511.86 ,$498.15 
2/18/2025,$500.73 ,8759280,$510.94 ,$516.00 ,$497.00 
2/14/2025,$523.51 ,3705326,$529.00 ,$533.20 ,$522.91 
2/13/2025,$531.18 ,2835051,$530.90 ,$534.33 ,$527.10 
2/12/2025,$527.40 ,3859241,$539.85 ,$542.35 ,$525.51 
2/11/2025,$533.92 ,2632107,$535.00 ,$547.54 ,$528.27 
2/10/2025,$533.37 ,3143143,$527.67 ,$534.16 ,$523.38 
2/7/2025,$527.03 ,3349299,$529.20 ,$532.39 ,$525.39 
2/6/2025,$530.04 ,3926829,$537.89 ,$539.10 ,$525.27 
2/5/2025,$539.81 ,4621558,$530.73 ,$540.70 ,$521.91 
2/4/2025,$545.45 ,2869935,$545.20 ,$548.81 ,$541.51 
2/3/2025,$548.18 ,4083572,$542.00 ,$553.91 ,$541.07 
1/31/2025,$542.49 ,4120661,$543.24 ,$549.16 ,$541.41 
1/30/2025,$545.57 ,2924741,$539.47 ,$547.11 ,$535.00 
1/29/2025,$538.10 ,2737638,$541.73 ,$543.48 ,$534.01 
1/28/2025,$542.48 ,3162659,$543.01 ,$546.50 ,$537.84 
1/27/2025,$543.52 ,4262959,$539.98 ,$551.91 ,$539.98 
1/24/2025,$532.51 ,3671163,$528.11 ,$534.63 ,$524.51 
1/23/2025,$529.77 ,4580802,$527.87 ,$531.48 ,$519.32 
1/22/2025,$519.72 ,3756139,$521.66 ,$524.44 ,$516.00 
1/21/2025,$524.99 ,5682082,$514.05 ,$525.00 ,$512.82 
1/17/2025,$509.76 ,7495719,$505.62 ,$521.82 ,$502.80 
1/16/2025,$510.59 ,9059887,$530.35 ,$539.84 ,$510.00 
1/15/2025,$543.42 ,4103865,$537.10 ,$546.29 ,$534.33 
1/14/2025,$543.74 ,3978259,$539.65 ,$544.55 ,$536.55 
1/13/2025,$541.14 ,6472465,$535.05 ,$547.40 ,$533.14 
1/10/2025,$520.69 ,5467532,$526.64 ,$535.45 ,$518.47 
1/8/2025,$524.52 ,4141728,$514.50 ,$524.67 ,$509.51 
1/7/2025,$514.25 ,3914545,$518.85 ,$519.50 ,$511.22 
1/6/2025,$513.67 ,4444836,$513.00 ,$520.30 ,$509.82 
1/3/2025,$513.00 ,3020428,$506.35 ,$516.29 ,$505.38 
1/2/2025,$504.51 ,4237395,$508.00 ,$512.11 ,$503.29 
12/31/2024,$505.86 ,4214367,$509.35 ,$511.00 ,$503.34 
12/30/2024,$507.80 ,5409047,$506.86 ,$509.73 ,$500.66 
12/27/2024,$509.99 ,3471799,$509.42 ,$513.18 ,$507.80 
12/26/2024,$511.15 ,3387986,$505.65 ,$512.22 ,$504.73 
12/24/2024,$506.10 ,1824393,$504.40 ,$506.10 ,$500.59 
12/23/2024,$506.34 ,4285978,$500.76 ,$508.78 ,$499.05 
12/20/2024,$500.13 ,10956890,$489.29 ,$502.64 ,$488.73 
