date,close_price,volume,open_price,high_price,low_price
2/28/2025,$98.61 ,25451260,$97.79 ,$98.86 ,$97.17 
2/27/2025,$96.79 ,16431470,$95.90 ,$98.04 ,$95.81 
2/26/2025,$96.20 ,19069720,$97.70 ,$98.73 ,$96.07 
2/25/2025,$97.69 ,29331190,$94.35 ,$97.91 ,$94.24 
2/24/2025,$93.67 ,29755880,$94.18 ,$94.64 ,$92.12 
2/21/2025,$94.78 ,35014810,$96.53 ,$96.85 ,$94.12 
2/20/2025,$97.21 ,55450920,$98.78 ,$100.12 ,$96.68 
2/19/2025,$104.00 ,18507980,$103.85 ,$104.20 ,$102.55 
2/18/2025,$103.78 ,18247310,$103.72 ,$103.99 ,$102.51 
2/14/2025,$104.04 ,14109460,$105.30 ,$105.30 ,$103.60 
2/13/2025,$105.05 ,12604410,$104.00 ,$105.24 ,$103.53 
2/12/2025,$103.61 ,15162130,$102.12 ,$103.90 ,$102.04 
2/11/2025,$102.47 ,11953630,$102.62 ,$102.85 ,$101.85 
2/10/2025,$102.92 ,15274640,$101.95 ,$102.93 ,$101.25 
2/7/2025,$101.15 ,12451070,$103.00 ,$103.11 ,$101.11 
2/6/2025,$102.85 ,13088470,$102.53 ,$103.02 ,$101.94 
2/5/2025,$102.46 ,15926720,$100.65 ,$102.58 ,$100.54 
2/4/2025,$100.77 ,15201190,$99.97 ,$100.95 ,$99.69 
2/3/2025,$99.54 ,20484150,$96.77 ,$99.79 ,$96.47 
1/31/2025,$98.16 ,16413890,$99.00 ,$99.00 ,$97.70 
1/30/2025,$98.65 ,11012220,$97.69 ,$98.93 ,$97.42 
1/29/2025,$97.50 ,11261440,$97.43 ,$98.17 ,$97.22 
1/28/2025,$97.29 ,14641620,$97.23 ,$97.84 ,$96.73 
1/27/2025,$97.40 ,18880610,$95.90 ,$97.46 ,$94.82 
1/24/2025,$94.76 ,14973770,$93.54 ,$95.01 ,$93.46 
1/23/2025,$93.81 ,14198440,$92.96 ,$93.81 ,$92.32 
1/22/2025,$93.23 ,15567060,$93.77 ,$94.00 ,$92.52 
1/21/2025,$93.08 ,23247450,$92.48 ,$94.24 ,$92.31 
1/17/2025,$91.94 ,15868210,$92.07 ,$92.26 ,$91.05 
1/16/2025,$91.30 ,13267720,$91.50 ,$91.72 ,$90.12 
1/15/2025,$91.34 ,17348170,$91.07 ,$91.73 ,$90.81 
1/14/2025,$90.79 ,13549160,$91.86 ,$91.98 ,$90.57 
